Rank, Nation, Sum, Change, Players
1, England, 11211350, -29000, 43
2, China, 5264600, 68000, 28
3, Wales, 2317900, -24000, 10
4, Scotland, 1535750, 81000, 8
5, Australia, 1070850, 9000, 1
6, N.Ireland, 778950, -42000, 4
7, Thailand, 434100, -1000, 5
8, Iran, 320750, 4000, 2
9, Belgium, 280600, 0, 3
10, Ireland, 189450, 14000, 3
11, Hong Kong, 119100, 5000, 4
12, India, 95850, 0, 2
13, Poland, 84950, 5000, 3
14, Pakistan, 78050, 0, 2
15, Latvia, 42550, 0, 1
16, Hungary, 30050, 0, 1
17, Ukraine, 27000, 0, 1
18, Brazil, 9000, 0, 1
19, Egypt, 7500, 0, 2
20, United Arab Emirates, 6500, 0, 1
21, Switzerland, 6000, 0, 1
22, Canada, 4000, 0, 1
23, Malaysia, 3000, 0, 1
24, Austria, 1000, 0, 1
