name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia and Herzegovina,,,,,,Q225,Bosnia and Herzegovina
Botswana,,,,,,Q963,Botswana
Brazil,,,,,,Q155,Brazil
British Indian Ocean Territory,,,,,,Q43448,British Indian Ocean Territory
British Virgin Islands,,,,,,Q25305,British Virgin Islands
Brunei,,,,,,Q921,Brunei
Bulgaria,,,,,,Q219,Bulgaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Cambodia,,,,,,Q424,Cambodia
Cameroon,,,,,,Q1009,Cameroon
Canada,,,,,,Q16,Canada
Cape Verde,,,,,,Q1011,Cape Verde
Cayman Islands,,,,,,Q5785,Cayman Islands
Central African Republic,,,,,,Q929,Central African Republic
Chad,,,,,,Q657,Chad
Chile,,,,,,Q298,Chile
China,,,,,,Q148,China
Christmas Island,,,,,,Q31063,Christmas Island
Clipperton Island,,,,,,Q161258,Clipperton Island
Cocos (Keeling) Islands,,,,,,Q36004,Cocos (Keeling) Islands
Colombia,,,,,,Q739,Colombia
Comoros,,,,,,Q970,Comoros
Costa Rica,,,,,,Q800,Costa Rica
Croatia,,,,,,Q224,Croatia
Cuba,,,,,,Q241,Cuba
Curaçao,,,,,,Q25279,Curaçao
Cyprus,,,,,,Q229,Cyprus
Czech Republic,,,,,,Q213,Czech Republic
Democratic Republic of the Congo,,,,,,Q974,Democratic Republic of the Congo
Denmark,,,,,,Q35,Denmark
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
Dominican Republic,,,,,,Q786,Dominican Republic
East Timor,,,,,,Q574,East Timor
Ecuador,,,,,,Q736,Ecuador
Egypt,,,,,,Q79,Egypt
El Salvador,,,,,,Q792,El Salvador
England,,,,,,Q21,England
Equatorial Guinea,,,,,,Q983,Equatorial Guinea
Eritrea,,,,,,Q986,Eritrea
Estonia,,,,,,Q191,Estonia
Eswatini,,,,,,Q1050,Eswatini
Ethiopia,,,,,,Q115,Ethiopia
Falkland Islands,,,,,,Q9648,Falkland Islands
Faroe Islands,,,,,,Q4628,Faroe Islands
Federated States of Micronesia,,,,,,Q702,Federated States of Micronesia
Fiji,,,,,,Q712,Fiji
Finland,,,,,,Q33,Finland
France,,,,,,Q142,France
French Guiana,,,,,,Q3769,French Guiana
Gabon,,,,,,Q1000,Gabon
