name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Іарданія,,,,,,Q810,Іарданія
Ізраіль,,,,,,Q801,Ізраіль
Інданезія,,,,,,Q252,Інданезія
Індыя,,,,,,Q668,Індыя
Ірак,,,,,,Q796,Ірак
Іран,,,,,,Q794,Іран
Ірландыя,,,,,,Q27,Ірландыя
Ісландыя,,,,,,Q189,Ісландыя
Іспанія,,,,,,Q29,Іспанія
Італія,,,,,,Q38,Італія
Абхазія,,,,,,Q23334,Абхазія
Азербайджан,,,,,,Q227,Азербайджан
Акратыры і Дэкелія,,,,,,Q37362,Акратыры і Дэкелія
Албанія,,,,,,Q222,Албанія
Алжыр,,,,,,Q262,Алжыр
Аман,,,,,,Q842,Аман
Англія,,,,,,Q21,Англія
Ангола,,,,,,Q916,Ангола
Ангілья,,,,,,Q25228,Ангілья
Андора,,,,,,Q228,Андора
Антыгуа і Барбуда,,,,,,Q781,Антыгуа і Барбуда
Аргенціна,,,,,,Q414,Аргенціна
Арменія,,,,,,Q399,Арменія
Аруба,,,,,,Q21203,Аруба
Афганістан,004,AF,AFG,AFG,AFG,Q889,Афганістан
Аўстралія,,,,,,Q408,Аўстралія
Аўстрыя,040,AT,AUT,AUT,AUT,Q40,Аўстрыя
Багамскія Астравы,,,,,,Q778,Багамскія Астравы
Балгарыя,,,,,,Q219,Балгарыя
Балівія,,,,,,Q750,Балівія
Банайрэ,,,,,,Q25396,Банайрэ
Бангладэш,,,,,,Q902,Бангладэш
Барбадас,,,,,,Q244,Барбадас
Батсвана,,,,,,Q963,Батсвана
Бахрэйн,,,,,,Q398,Бахрэйн
Беларусь,,,,,,Q184,Беларусь
Бельгія,,,,,,Q31,Бельгія
Беліз,,,,,,Q242,Беліз
Бенін,,,,,,Q962,Бенін
Бермудскія астравы,,,,,,Q23635,Бермудскія астравы
Боснія і Герцагавіна,,,,,,Q225,Боснія і Герцагавіна
Бразілія,,,,,,Q155,Бразілія
Бруней,,,,,,Q921,Бруней
Брытанская тэрыторыя ў Індыйскім акіяне,,,,,,Q43448,Брытанская тэрыторыя ў Індыйскім акіяне
Брытанскія Віргінскія астравы,,,,,,Q25305,Брытанскія Віргінскія астравы
Буркіна-Фасо,,,,,,Q965,Буркіна-Фасо
Бурундзі,,,,,,Q967,Бурундзі
Бутан,,,,,,Q917,Бутан
Венгрыя,,,,,,Q28,Венгрыя
Востраў Каляд,,,,,,Q31063,Востраў Каляд
Востраў Мэн,,,,,,Q9676,Востраў Мэн
Габон,,,,,,Q1000,Габон
Гамбія,,,,,,Q1005,Гамбія
Гана,,,,,,Q117,Гана
Гандурас,,,,,,Q783,Гандурас
Ганконг,,,,,,Q8646,Ганконг
Гаяна,,,,,,Q734,Гаяна
Гаіці,,,,,,Q790,Гаіці
Гвадэлупа,,,,,,Q17012,Гвадэлупа
Гватэмала,,,,,,Q774,Гватэмала
Гвінея,,,,,,Q1006,Гвінея
Гвінея-Бісау,,,,,,Q1007,Гвінея-Бісау
Германія,,,,,,Q183,Германія
Грузія,,,,,,Q230,Грузія
Грэнада,,,,,,Q769,Грэнада
Грэнландыя,,,,,,Q223,Грэнландыя
Грэцыя,,,,,,Q41,Грэцыя
Гібралтар,,,,,,Q1410,Гібралтар
Дамініка,,,,,,Q784,Дамініка
Дамініканская Рэспубліка,,,,,,Q786,Дамініканская Рэспубліка
Данія,,,,,,Q35,Данія
Джыбуці,,,,,,Q977,Джыбуці
Джэрсі,,,,,,Q785,Джэрсі
Дзяржава Палесціна,,,,,,Q219060,Дзяржава Палесціна
Дэмакратычная Рэспубліка Конга,,,,,,Q974,Дэмакратычная Рэспубліка Конга
Егіпет,,,,,,Q79,Егіпет
Каба-Вердэ,,,,,,Q1011,Каба-Вердэ
Казахстан,,,,,,Q232,Казахстан
Кайманавы астравы,,,,,,Q5785,Кайманавы астравы
Какосавыя астравы,,,,,,Q36004,Какосавыя астравы
Калумбія,,,,,,Q739,Калумбія
Камбоджа,,,,,,Q424,Камбоджа
Камерун,,,,,,Q1009,Камерун
Каморскія Астравы,,,,,,Q970,Каморскія Астравы
Канада,,,,,,Q16,Канада
Катар,,,,,,Q846,Катар
Кенія,,,,,,Q114,Кенія
Кліпертан,,,,,,Q161258,Кліпертан
Коста-Рыка,,,,,,Q800,Коста-Рыка
Кот-д’Івуар,,,,,,Q1008,Кот-д’Івуар
Куба,,,,,,Q241,Куба
Кувейт,,,,,,Q817,Кувейт
Кыргызстан,,,,,,Q813,Кыргызстан
Кюрасаа,,,,,,Q25279,Кюрасаа
Кіпр,,,,,,Q229,Кіпр
Кірыбаці,,,,,,Q710,Кірыбаці
Кітай,,,,,,Q148,Кітай
Лаос,,,,,,Q819,Лаос
Латвія,,,,,,Q211,Латвія
Лесота,,,,,,Q1013,Лесота
Люксембург,,,,,,Q32,Люксембург
Ліберыя,,,,,,Q1014,Ліберыя
Ліван,,,,,,Q822,Ліван
Лівія,,,,,,Q1016,Лівія
Літва,,,,,,Q37,Літва
Ліхтэнштэйн,,,,,,Q347,Ліхтэнштэйн
Мадагаскар,,,,,,Q1019,Мадагаскар
Мазамбік,,,,,,Q1029,Мазамбік
Макаа,,,,,,Q14773,Макаа
Малаві,,,,,,Q1020,Малаві
Малайзія,,,,,,Q833,Малайзія
Малдова,,,,,,Q217,Малдова
Мальдывы,,,,,,Q826,Мальдывы
Мальта,,,,,,Q233,Мальта
Малі,,,,,,Q912,Малі
Манака,,,,,,Q235,Манака
Манголія,,,,,,Q711,Манголія
Мантсерат,,,,,,Q13353,Мантсерат
Марока,,,,,,Q1028,Марока
Марцініка,,,,,,Q17054,Марцініка
Маршалавы Астравы,,,,,,Q709,Маршалавы Астравы
Маўрыкій,,,,,,Q1027,Маўрыкій
Маўрытанія,,,,,,Q1025,Маўрытанія
Мексіка,,,,,,Q96,Мексіка
М’янма,,,,,,Q836,М’янма
Наваса,,,,,,Q25359,Наваса
Нагорна-Карабахская Рэспубліка,,,,,,Q244165,Нагорна-Карабахская Рэспубліка
Намібія,,,,,,Q1030,Намібія
Нарвегія,,,,,,Q20,Нарвегія
Науру,,,,,,Q697,Науру
Непал,,,,,,Q837,Непал
Новая Зеландыя,,,,,,Q664,Новая Зеландыя
Нігер,,,,,,Q1032,Нігер
Нігерыя,,,,,,Q1033,Нігерыя
Нідэрланды,,,,,,Q55,Нідэрланды
Нікарагуа,,,,,,Q811,Нікарагуа
Пакістан,,,,,,Q843,Пакістан
Палау,,,,,,Q695,Палау
Панама,,,,,,Q804,Панама
Папуа — Новая Гвінея,,,,,,Q691,Папуа — Новая Гвінея
Парагвай,,,,,,Q733,Парагвай
Партугалія,,,,,,Q45,Партугалія
Паўднёва-Афрыканская Рэспубліка,,,,,,Q258,Паўднёва-Афрыканская Рэспубліка
Паўднёвая Асеція,,,,,,Q23427,Паўднёвая Асеція
Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы,,,,,,Q35086,Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы
Паўднёвая Карэя,,,,,,Q884,Паўднёвая Карэя
Паўднёвы Судан,,,,,,Q958,Паўднёвы Судан
Паўночная Ірландыя,,,,,,Q26,Паўночная Ірландыя
Паўночная Карэя,,,,,,Q423,Паўночная Карэя
Паўночная Македонія,,,,,,Q221,Паўночная Македонія
Паўночны Кіпр,,,,,,Q23681,Паўночны Кіпр
Перу,,,,,,Q419,Перу
Польшча,,,,,,Q36,Польшча
Прыднястроўе,,,,,,Q907112,Прыднястроўе
Пуэрта-Рыка,,,,,,Q1183,Пуэрта-Рыка
Расія,,,,,,Q159,Расія
Руанда,,,,,,Q1037,Руанда
Румынія,,,,,,Q218,Румынія
Рэспубліка Конга,,,,,,Q971,Рэспубліка Конга
Рэспубліка Косава,,,,,,Q1246,Рэспубліка Косава
Саба,,,,,,Q25528,Саба
Саламонавы Астравы,,,,,,Q685,Саламонавы Астравы
Сальвадор,,,,,,Q792,Сальвадор
Самалі,,,,,,Q1045,Самалі
Самаліленд,,,,,,Q34754,Самаліленд
Самоа,,,,,,Q683,Самоа
Сан-Марына,,,,,,Q238,Сан-Марына
Сан-Тамэ і Прынсіпі,,,,,,Q1039,Сан-Тамэ і Прынсіпі
Саудаўская Аравія,,,,,,Q851,Саудаўская Аравія
Сахарская Арабская Дэмакратычная Рэспубліка,,,,,,Q40362,Сахарская Арабская Дэмакратычная Рэспубліка
Сейшэльскія Астравы,,,,,,Q1042,Сейшэльскія Астравы
Сен-Бартэльмі,,,,,,Q25362,Сен-Бартэльмі
Сен-П’ер і Мікелон,,,,,,Q34617,Сен-П’ер і Мікелон
Сенегал,,,,,,Q1041,Сенегал
Сент-Вінсент і Грэнадзіны,,,,,,Q757,Сент-Вінсент і Грэнадзіны
Сент-Кітс і Невіс,,,,,,Q763,Сент-Кітс і Невіс
Сент-Люсія,,,,,,Q760,Сент-Люсія
Сербія,,,,,,Q403,Сербія
Славакія,,,,,,Q214,Славакія
Славенія,,,,,,Q215,Славенія
Судан,,,,,,Q1049,Судан
Сурынам,,,,,,Q730,Сурынам
Сьера-Леонэ,,,,,,Q1044,Сьера-Леонэ
Сінгапур,,,,,,Q334,Сінгапур
Сінт-Мартэн,,,,,,Q26273,Сінт-Мартэн
Сінт-Эстатыус,,,,,,Q26180,Сінт-Эстатыус
Сірыя,,,,,,Q858,Сірыя
Таджыкістан,,,,,,Q863,Таджыкістан
Тайвань,,,,,,Q865,Тайвань
Тайланд,,,,,,Q869,Тайланд
Танзанія,,,,,,Q924,Танзанія
Тога,,,,,,Q945,Тога
Тонга,,,,,,Q678,Тонга
Трынідад і Табага,,,,,,Q754,Трынідад і Табага
Туніс,,,,,,Q948,Туніс
Усходні Тымор,,,,,,Q574,Усходні Тымор
Фалклендскія астравы,,,,,,Q9648,Фалклендскія астравы
Фарэрскія астравы,,,,,,Q4628,Фарэрскія астравы
Федэратыўныя Штаты Мікранезіі,,,,,,Q702,Федэратыўныя Штаты Мікранезіі
Французская Гвіяна,,,,,,Q3769,Французская Гвіяна
Францыя,,,,,,Q142,Францыя
Фіджы,,,,,,Q712,Фіджы
Філіпіны,,,,,,Q928,Філіпіны
Фінляндыя,,,,,,Q33,Фінляндыя
Харватыя,,,,,,Q224,Харватыя
Цэнтральна-Афрыканская Рэспубліка,,,,,,Q929,Цэнтральна-Афрыканская Рэспубліка
Чад,,,,,,Q657,Чад
Чарнагорыя,,,,,,Q236,Чарнагорыя
Чылі,,,,,,Q298,Чылі
Чэхія,,,,,,Q213,Чэхія
Шатландыя,,,,,,Q22,Шатландыя
Швейцарыя,,,,,,Q39,Швейцарыя
Швецыя,,,,,,Q34,Швецыя
Шпіцберген,,,,,,Q25231,Шпіцберген
Шры-Ланка,,,,,,Q854,Шры-Ланка
Эквадор,,,,,,Q736,Эквадор
Экватарыяльная Гвінея,,,,,,Q983,Экватарыяльная Гвінея
Эрытрэя,,,,,,Q986,Эрытрэя
Эсваціні,,,,,,Q1050,Эсваціні
Эстонія,,,,,,Q191,Эстонія
Эфіопія,,,,,,Q115,Эфіопія
Ямайка,,,,,,Q766,Ямайка
Японія,,,,,,Q17,Японія
