name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
,,,,,,Q400506,Unknown
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abcházie,,,,,,Q23334,Abcházie
Afghánistán,004,AF,AFG,AFG,AFG,Q889,Afghánistán
Akrotiri a Dekelia,,,,,,Q37362,Akrotiri a Dekelia
Albánie,,,,,,Q222,Albánie
Alžírsko,,,,,,Q262,Alžírsko
Americké Panenské ostrovy,,,,,,Q11703,Americké Panenské ostrovy
Andorra,,,,,,Q228,Andorra
Anglie,,,,,,Q21,Anglie
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua a Barbuda,,,,,,Q781,Antigua a Barbuda
Argentina,,,,,,Q414,Argentina
Arménie,,,,,,Q399,Arménie
Aruba,,,,,,Q21203,Aruba
Austrálie,,,,,,Q408,Austrálie
Bahamy,,,,,,Q778,Bahamy
Bahrajn,,,,,,Q398,Bahrajn
Bangladéš,,,,,,Q902,Bangladéš
Barbados,,,,,,Q244,Barbados
Belgie,,,,,,Q31,Belgie
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermudy,,,,,,Q23635,Bermudy
Bhútán,,,,,,Q917,Bhútán
Bolívie,,,,,,Q750,Bolívie
Bonaire,,,,,,Q25396,Bonaire
Bosna a Hercegovina,,,,,,Q225,Bosna a Hercegovina
Botswana,,,,,,Q963,Botswana
Brazílie,,,,,,Q155,Brazílie
Britské Panenské ostrovy,,,,,,Q25305,Britské Panenské ostrovy
Britské indickooceánské území,,,,,,Q43448,Britské indickooceánské území
Brunej,,,,,,Q921,Brunej
Bulharsko,,,,,,Q219,Bulharsko
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Bělorusko,,,,,,Q184,Bělorusko
Chile,,,,,,Q298,Chile
Chorvatsko,,,,,,Q224,Chorvatsko
Clippertonův ostrov,,,,,,Q161258,Clippertonův ostrov
Curaçao,,,,,,Q25279,Curaçao
Dominika,,,,,,Q784,Dominika
Dominikánská republika,,,,,,Q786,Dominikánská republika
Dánsko,,,,,,Q35,Dánsko
Džibutsko,,,,,,Q977,Džibutsko
Egypt,,,,,,Q79,Egypt
Ekvádor,,,,,,Q736,Ekvádor
Eritrea,,,,,,Q986,Eritrea
Estonsko,,,,,,Q191,Estonsko
Etiopie,,,,,,Q115,Etiopie
Faerské ostrovy,,,,,,Q4628,Faerské ostrovy
Falklandy,,,,,,Q9648,Falklandy
Federativní státy Mikronésie,,,,,,Q702,Federativní státy Mikronésie
Fidži,,,,,,Q712,Fidži
Filipíny,,,,,,Q928,Filipíny
Finsko,,,,,,Q33,Finsko
Francie,,,,,,Q142,Francie
Francouzská Guyana,,,,,,Q3769,Francouzská Guyana
Gabon,,,,,,Q1000,Gabon
Gambie,,,,,,Q1005,Gambie
Ghana,,,,,,Q117,Ghana
Gibraltar,,,,,,Q1410,Gibraltar
Grenada,,,,,,Q769,Grenada
Gruzie,,,,,,Q230,Gruzie
Grónsko,,,,,,Q223,Grónsko
Guadeloupe,,,,,,Q17012,Guadeloupe
Guatemala,,,,,,Q774,Guatemala
Guinea,,,,,,Q1006,Guinea
Guinea-Bissau,,,,,,Q1007,Guinea-Bissau
Guyana,,,,,,Q734,Guyana
Haiti,,,,,,Q790,Haiti
Honduras,,,,,,Q783,Honduras
Hongkong,,,,,,Q8646,Hongkong
Indie,,,,,,Q668,Indie
Indonésie,,,,,,Q252,Indonésie
Irsko,,,,,,Q27,Irsko
Irák,,,,,,Q796,Irák
Island,,,,,,Q189,Island
Itálie,,,,,,Q38,Itálie
Izrael,,,,,,Q801,Izrael
Jamajka,,,,,,Q766,Jamajka
Japonsko,,,,,,Q17,Japonsko
Jersey,,,,,,Q785,Jersey
Jihoafrická republika,,,,,,Q258,Jihoafrická republika
Jižní Georgie a Jižní Sandwichovy ostrovy,,,,,,Q35086,Jižní Georgie a Jižní Sandwichovy ostrovy
Jižní Korea,,,,,,Q884,Jižní Korea
Jižní Osetie,,,,,,Q23427,Jižní Osetie
Jižní Súdán,,,,,,Q958,Jižní Súdán
Jordánsko,,,,,,Q810,Jordánsko
Kajmanské ostrovy,,,,,,Q5785,Kajmanské ostrovy
Kambodža,,,,,,Q424,Kambodža
Kamerun,,,,,,Q1009,Kamerun
Kanada,,,,,,Q16,Kanada
Kapverdy,,,,,,Q1011,Kapverdy
Katar,,,,,,Q846,Katar
Kazachstán,,,,,,Q232,Kazachstán
Keňa,,,,,,Q114,Keňa
Kiribati,,,,,,Q710,Kiribati
Kokosové ostrovy,,,,,,Q36004,Kokosové ostrovy
Kolumbie,,,,,,Q739,Kolumbie
Komory,,,,,,Q970,Komory
Konžská demokratická republika,,,,,,Q974,Konžská demokratická republika
Konžská republika,,,,,,Q971,Konžská republika
Kosovo,,,,,,Q1246,Kosovo
Kostarika,,,,,,Q800,Kostarika
Kuba,,,,,,Q241,Kuba
Kuvajt,,,,,,Q817,Kuvajt
Kypr,,,,,,Q229,Kypr
Kyrgyzstán,,,,,,Q813,Kyrgyzstán
Laos,,,,,,Q819,Laos
Lesotho,,,,,,Q1013,Lesotho
Libanon,,,,,,Q822,Libanon
Libye,,,,,,Q1016,Libye
Libérie,,,,,,Q1014,Libérie
Lichtenštejnsko,,,,,,Q347,Lichtenštejnsko
Litva,,,,,,Q37,Litva
Lotyšsko,,,,,,Q211,Lotyšsko
Lucembursko,,,,,,Q32,Lucembursko
Macao,,,,,,Q14773,Macao
Madagaskar,,,,,,Q1019,Madagaskar
Malajsie,,,,,,Q833,Malajsie
Malawi,,,,,,Q1020,Malawi
Maledivy,,,,,,Q826,Maledivy
Mali,,,,,,Q912,Mali
Malta,,,,,,Q233,Malta
Man (ostrov),,,,,,Q9676,Man (ostrov)
Maroko,,,,,,Q1028,Maroko
Marshallovy ostrovy,,,,,,Q709,Marshallovy ostrovy
Martinik,,,,,,Q17054,Martinik
Mauricius,,,,,,Q1027,Mauricius
Mauritánie,,,,,,Q1025,Mauritánie
Maďarsko,,,,,,Q28,Maďarsko
Mexiko,,,,,,Q96,Mexiko
Moldavsko,,,,,,Q217,Moldavsko
Monako,,,,,,Q235,Monako
Mongolsko,,,,,,Q711,Mongolsko
Montserrat (ostrov),,,,,,Q13353,Montserrat (ostrov)
Mosambik,,,,,,Q1029,Mosambik
Myanmar,,,,,,Q836,Myanmar
Namibie,,,,,,Q1030,Namibie
Nauru,,,,,,Q697,Nauru
Navassa,,,,,,Q25359,Navassa
Nepál,,,,,,Q837,Nepál
Niger,,,,,,Q1032,Niger
Nigérie,,,,,,Q1033,Nigérie
Nikaragua,,,,,,Q811,Nikaragua
Nizozemsko,,,,,,Q55,Nizozemsko
Norsko,,,,,,Q20,Norsko
Nový Zéland,,,,,,Q664,Nový Zéland
Německo,,,,,,Q183,Německo
Omán,,,,,,Q842,Omán
Palau,,,,,,Q695,Palau
Panama,,,,,,Q804,Panama
Papua Nová Guinea,,,,,,Q691,Papua Nová Guinea
Paraguay,,,,,,Q733,Paraguay
Peru,,,,,,Q419,Peru
Pobřeží slonoviny,,,,,,Q1008,Pobřeží slonoviny
Podněstří,,,,,,Q907112,Podněstří
Polsko,,,,,,Q36,Polsko
Portoriko,,,,,,Q1183,Portoriko
Portugalsko,,,,,,Q45,Portugalsko
Pákistán,,,,,,Q843,Pákistán
Rakousko,040,AT,AUT,AUT,AUT,Q40,Rakousko
Republika Arcach,,,,,,Q244165,Republika Arcach
Rovníková Guinea,,,,,,Q983,Rovníková Guinea
Rumunsko,,,,,,Q218,Rumunsko
Rusko,,,,,,Q159,Rusko
Rwanda,,,,,,Q1037,Rwanda
Saba,,,,,,Q25528,Saba
Saharská arabská demokratická republika,,,,,,Q40362,Saharská arabská demokratická republika
Saint Pierre a Miquelon,,,,,,Q34617,Saint Pierre a Miquelon
Salvador,,,,,,Q792,Salvador
Samoa,,,,,,Q683,Samoa
San Marino,,,,,,Q238,San Marino
Saúdská Arábie,,,,,,Q851,Saúdská Arábie
Senegal,,,,,,Q1041,Senegal
Severní Irsko,,,,,,Q26,Severní Irsko
Severní Korea,,,,,,Q423,Severní Korea
Severní Kypr,,,,,,Q23681,Severní Kypr
Severní Makedonie,,,,,,Q221,Severní Makedonie
Seychely,,,,,,Q1042,Seychely
Sierra Leone,,,,,,Q1044,Sierra Leone
Singapur,,,,,,Q334,Singapur
Skotsko,,,,,,Q22,Skotsko
Slovensko,,,,,,Q214,Slovensko
Slovinsko,,,,,,Q215,Slovinsko
Somaliland,,,,,,Q34754,Somaliland
Somálsko,,,,,,Q1045,Somálsko
Spojené arabské emiráty,,,,,,Q878,Spojené arabské emiráty
Spojené království,,,,,,Q145,Spojené království
Spojené státy americké,,,,,,Q30,Spojené státy americké
Srbsko,,,,,,Q403,Srbsko
Srí Lanka,,,,,,Q854,Srí Lanka
Stát Palestina,,,,,,Q219060,Stát Palestina
Středoafrická republika,,,,,,Q929,Středoafrická republika
Surinam,,,,,,Q730,Surinam
Svatá Lucie,,,,,,Q760,Svatá Lucie
Svatý Bartoloměj (ostrov),,,,,,Q25362,Svatý Bartoloměj (ostrov)
Svatý Eustach (ostrov),,,,,,Q26180,Svatý Eustach (ostrov)
Svatý Kryštof a Nevis,,,,,,Q763,Svatý Kryštof a Nevis
Svatý Martin (nizozemská část),,,,,,Q26273,Svatý Martin (nizozemská část)
Svatý Tomáš a Princův ostrov,,,,,,Q1039,Svatý Tomáš a Princův ostrov
Svatý Vincenc a Grenadiny,,,,,,Q757,Svatý Vincenc a Grenadiny
Svazijsko,,,,,,Q1050,Svazijsko
Súdán,,,,,,Q1049,Súdán
Sýrie,,,,,,Q858,Sýrie
Tanzanie,,,,,,Q924,Tanzanie
Tchaj-wan,,,,,,Q865,Tchaj-wan
