name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q843,Pakistan
,,,,,,Q695,Palau
,,,,,,Q804,Panama
,,,,,,Q691,Papua New Guinea
,,,,,,Q733,Paraguay
,,,,,,Q419,Peru
,,,,,,Q928,Philippines
,,,,,,Q36,Poland
,,,,,,Q45,Portugal
,,,,,,Q1183,Puerto Rico
,,,,,,Q846,Qatar
,,,,,,Q971,Republic of the Congo
,,,,,,Q218,Romania
,,,,,,Q159,Russia
,,,,,,Q1037,Rwanda
,,,,,,Q25528,Saba
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q25362,Saint Barthélemy
,,,,,,Q763,Saint Kitts and Nevis
,,,,,,Q760,Saint Lucia
,,,,,,Q126125,Saint Martin
,,,,,,Q34617,Saint Pierre and Miquelon
,,,,,,Q757,Saint Vincent and the Grenadines
,,,,,,Q683,Samoa
,,,,,,Q238,San Marino
,,,,,,Q851,Saudi Arabia
,,,,,,Q22,Scotland
,,,,,,Q1041,Senegal
,,,,,,Q403,Serbia
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Αίγυπτος,,,,,,Q79,Αίγυπτος
Αγγλία,,,,,,Q21,Αγγλία
Αζερμπαϊτζάν,,,,,,Q227,Αζερμπαϊτζάν
Αιθιοπία,,,,,,Q115,Αιθιοπία
Ακτή Ελεφαντοστού,,,,,,Q1008,Ακτή Ελεφαντοστού
Αλβανία,,,,,,Q222,Αλβανία
Αλγερία,,,,,,Q262,Αλγερία
Αμπχαζία,,,,,,Q23334,Αμπχαζία
Ανατολικό Τιμόρ,,,,,,Q574,Ανατολικό Τιμόρ
Ανγκουίλα,,,,,,Q25228,Ανγκουίλα
Ανγκόλα,,,,,,Q916,Ανγκόλα
Ανδόρρα,,,,,,Q228,Ανδόρρα
Αντίγκουα και Μπαρμπούντα,,,,,,Q781,Αντίγκουα και Μπαρμπούντα
Αργεντινή,,,,,,Q414,Αργεντινή
Αρμενία,,,,,,Q399,Αρμενία
Αρούμπα,,,,,,Q21203,Αρούμπα
Αυστρία,040,AT,AUT,AUT,AUT,Q40,Αυστρία
Αυστραλία,,,,,,Q408,Αυστραλία
Αφγανιστάν,004,AF,AFG,AFG,AFG,Q889,Αφγανιστάν
Αϊτή,,,,,,Q790,Αϊτή
Βέλγιο,,,,,,Q31,Βέλγιο
Βαϊλάτο του Τζέρσεϊ,,,,,,Q785,Βαϊλάτο του Τζέρσεϊ
Βερμούδες,,,,,,Q23635,Βερμούδες
Βολιβία,,,,,,Q750,Βολιβία
Βοσνία και Ερζεγοβίνη,,,,,,Q225,Βοσνία και Ερζεγοβίνη
Βουλγαρία,,,,,,Q219,Βουλγαρία
Βραζιλία,,,,,,Q155,Βραζιλία
Βρετανικές Παρθένοι Νήσοι,,,,,,Q25305,Βρετανικές Παρθένοι Νήσοι
Βρετανικό Έδαφος Ινδικού Ωκεανού,,,,,,Q43448,Βρετανικό Έδαφος Ινδικού Ωκεανού
Βόρεια Ιρλανδία,,,,,,Q26,Βόρεια Ιρλανδία
Βόρεια Κορέα,,,,,,Q423,Βόρεια Κορέα
Βόρεια Μακεδονία,,,,,,Q221,Βόρεια Μακεδονία
Γαλλία,,,,,,Q142,Γαλλία
Γαλλική Γουιάνα,,,,,,Q3769,Γαλλική Γουιάνα
Γερμανία,,,,,,Q183,Γερμανία
Γεωργία,,,,,,Q230,Γεωργία
Γιβραλτάρ,,,,,,Q1410,Γιβραλτάρ
Γκάνα,,,,,,Q117,Γκάνα
Γκέρνζι,,,,,,Q3311985,Γκέρνζι
Γκαμπόν,,,,,,Q1000,Γκαμπόν
Γουαδελούπη,,,,,,Q17012,Γουαδελούπη
Γουατεμάλα,,,,,,Q774,Γουατεμάλα
Γουιάνα,,,,,,Q734,Γουιάνα
Γουινέα,,,,,,Q1006,Γουινέα
Γουινέα-Μπισσάου,,,,,,Q1007,Γουινέα-Μπισσάου
Γρενάδα,,,,,,Q769,Γρενάδα
Γροιλανδία,,,,,,Q223,Γροιλανδία
Δανία,,,,,,Q35,Δανία
Δημοκρατία της Ιρλανδίας,,,,,,Q27,Δημοκρατία της Ιρλανδίας
