name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abjasia,,,,,,Q23334,Abjasia
Afganistán,004,AF,AFG,AFG,AFG,Q889,Afganistán
Akrotiri y Dekelia,,,,,,Q37362,Akrotiri y Dekelia
Albania,,,,,,Q222,Albania
Alemania,,,,,,Q183,Alemania
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguila (dependencia),,,,,,Q25228,Anguila (dependencia)
Antigua y Barbuda,,,,,,Q781,Antigua y Barbuda
Arabia Saudita,,,,,,Q851,Arabia Saudita
Argelia,,,,,,Q262,Argelia
Argentina,,,,,,Q414,Argentina
Armenia,,,,,,Q399,Armenia
Artsaj,,,,,,Q244165,Artsaj
Aruba,,,,,,Q21203,Aruba
Australia,,,,,,Q408,Australia
Austria,040,AT,AUT,AUT,AUT,Q40,Austria
Azerbaiyán,,,,,,Q227,Azerbaiyán
Bangladés,,,,,,Q902,Bangladés
Barbados,,,,,,Q244,Barbados
Baréin,,,,,,Q398,Baréin
Belice,,,,,,Q242,Belice
Benín,,,,,,Q962,Benín
Bermudas,,,,,,Q23635,Bermudas
Bielorrusia,,,,,,Q184,Bielorrusia
Birmania,,,,,,Q836,Birmania
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia y Herzegovina,,,,,,Q225,Bosnia y Herzegovina
Botsuana,,,,,,Q963,Botsuana
Brasil,,,,,,Q155,Brasil
Brunéi,,,,,,Q921,Brunéi
Bulgaria,,,,,,Q219,Bulgaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Bután,,,,,,Q917,Bután
Bélgica,,,,,,Q31,Bélgica
Cabo Verde,,,,,,Q1011,Cabo Verde
Camboya,,,,,,Q424,Camboya
Camerún,,,,,,Q1009,Camerún
Canadá,,,,,,Q16,Canadá
Catar,,,,,,Q846,Catar
Chad,,,,,,Q657,Chad
Chile,,,,,,Q298,Chile
Chipre,,,,,,Q229,Chipre
Chipre del Norte,,,,,,Q23681,Chipre del Norte
Colombia,,,,,,Q739,Colombia
Comoras,,,,,,Q970,Comoras
Corea del Norte,,,,,,Q423,Corea del Norte
Costa Rica,,,,,,Q800,Costa Rica
Costa de Marfil,,,,,,Q1008,Costa de Marfil
Croacia,,,,,,Q224,Croacia
Cuba,,,,,,Q241,Cuba
Curazao,,,,,,Q25279,Curazao
Dinamarca,,,,,,Q35,Dinamarca
Dominica,,,,,,Q784,Dominica
Ecuador,,,,,,Q736,Ecuador
Egipto,,,,,,Q79,Egipto
El Salvador,,,,,,Q792,El Salvador
Eritrea,,,,,,Q986,Eritrea
Escocia,,,,,,Q22,Escocia
Estados Federados de Micronesia,,,,,,Q702,Estados Federados de Micronesia
Estonia,,,,,,Q191,Estonia
Etiopía,,,,,,Q115,Etiopía
Filipinas,,,,,,Q928,Filipinas
Finlandia,,,,,,Q33,Finlandia
Fiyi,,,,,,Q712,Fiyi
Francia,,,,,,Q142,Francia
Gabón,,,,,,Q1000,Gabón
Georgia,,,,,,Q230,Georgia
Ghana,,,,,,Q117,Ghana
Gibraltar,,,,,,Q1410,Gibraltar
Granada (país),,,,,,Q769,Granada (país)
Grecia,,,,,,Q41,Grecia
Groenlandia,,,,,,Q223,Groenlandia
Guadalupe (Francia),,,,,,Q17012,Guadalupe (Francia)
Guatemala,,,,,,Q774,Guatemala
Guayana Francesa,,,,,,Q3769,Guayana Francesa
Guinea,,,,,,Q1006,Guinea
Guinea Ecuatorial,,,,,,Q983,Guinea Ecuatorial
Guinea-Bisáu,,,,,,Q1007,Guinea-Bisáu
Guyana,,,,,,Q734,Guyana
Haití,,,,,,Q790,Haití
Honduras,,,,,,Q783,Honduras
Hong Kong,,,,,,Q8646,Hong Kong
Hungría,,,,,,Q28,Hungría
India,,,,,,Q668,India
Indonesia,,,,,,Q252,Indonesia
Inglaterra,,,,,,Q21,Inglaterra
Irak,,,,,,Q796,Irak
Irlanda,,,,,,Q27,Irlanda
Irlanda del Norte,,,,,,Q26,Irlanda del Norte
Irán,,,,,,Q794,Irán
Isla Clipperton,,,,,,Q161258,Isla Clipperton
Isla de Man,,,,,,Q9676,Isla de Man
Isla de Navaza,,,,,,Q25359,Isla de Navaza
Isla de Navidad,,,,,,Q31063,Isla de Navidad
Isla de Saba,,,,,,Q25528,Isla de Saba
Islandia,,,,,,Q189,Islandia
Islas Caimán,,,,,,Q5785,Islas Caimán
Islas Cocos,,,,,,Q36004,Islas Cocos
Islas Feroe,,,,,,Q4628,Islas Feroe
Islas Malvinas (territorio británico de ultramar),,,,,,Q9648,Islas Malvinas (territorio británico de ultramar)
Islas Marshall,,,,,,Q709,Islas Marshall
Islas Vírgenes Británicas,,,,,,Q25305,Islas Vírgenes Británicas
Israel,,,,,,Q801,Israel
Italia,,,,,,Q38,Italia
Jamaica,,,,,,Q766,Jamaica
Japón,,,,,,Q17,Japón
Jersey,,,,,,Q785,Jersey
Jordania,,,,,,Q810,Jordania
Kazajistán,,,,,,Q232,Kazajistán
Kenia,,,,,,Q114,Kenia
Kirguistán,,,,,,Q813,Kirguistán
Kiribati,,,,,,Q710,Kiribati
Kosovo,,,,,,Q1246,Kosovo
Kuwait,,,,,,Q817,Kuwait
Laos,,,,,,Q819,Laos
Lesoto,,,,,,Q1013,Lesoto
Letonia,,,,,,Q211,Letonia
Liberia,,,,,,Q1014,Liberia
Libia,,,,,,Q1016,Libia
Liechtenstein,,,,,,Q347,Liechtenstein
Lituania,,,,,,Q37,Lituania
Luxemburgo,,,,,,Q32,Luxemburgo
Líbano,,,,,,Q822,Líbano
Macao,,,,,,Q14773,Macao
Macedonia del Norte,,,,,,Q221,Macedonia del Norte
Madagascar,,,,,,Q1019,Madagascar
Malasia,,,,,,Q833,Malasia
Malaui,,,,,,Q1020,Malaui
Maldivas,,,,,,Q826,Maldivas
Malta,,,,,,Q233,Malta
Malí,,,,,,Q912,Malí
Marruecos,,,,,,Q1028,Marruecos
Martinica,,,,,,Q17054,Martinica
Mauricio,,,,,,Q1027,Mauricio
Mauritania,,,,,,Q1025,Mauritania
Moldavia,,,,,,Q217,Moldavia
Mongolia,,,,,,Q711,Mongolia
Montenegro,,,,,,Q236,Montenegro
Montserrat,,,,,,Q13353,Montserrat
Mozambique,,,,,,Q1029,Mozambique
México,,,,,,Q96,México
Mónaco,,,,,,Q235,Mónaco
Namibia,,,,,,Q1030,Namibia
Nauru,,,,,,Q697,Nauru
Nepal,,,,,,Q837,Nepal
Nicaragua,,,,,,Q811,Nicaragua
Nigeria,,,,,,Q1033,Nigeria
Noruega,,,,,,Q20,Noruega
Nueva Zelanda,,,,,,Q664,Nueva Zelanda
Níger,,,,,,Q1032,Níger
Omán,,,,,,Q842,Omán
Pakistán,,,,,,Q843,Pakistán
Palaos,,,,,,Q695,Palaos
Panamá,,,,,,Q804,Panamá
Papúa Nueva Guinea,,,,,,Q691,Papúa Nueva Guinea
Paraguay,,,,,,Q733,Paraguay
Países Bajos,,,,,,Q55,Países Bajos
Perú,,,,,,Q419,Perú
Polonia,,,,,,Q36,Polonia
Portugal,,,,,,Q45,Portugal
Puerto Rico,,,,,,Q1183,Puerto Rico
República Centroafricana,,,,,,Q929,República Centroafricana
República Checa,,,,,,Q213,República Checa
República Democrática del Congo,,,,,,Q974,República Democrática del Congo
República Dominicana,,,,,,Q786,República Dominicana
República Popular China,,,,,,Q148,República Popular China
República del Congo,,,,,,Q971,República del Congo
República Árabe Saharaui Democrática,,,,,,Q40362,República Árabe Saharaui Democrática
Ruanda,,,,,,Q1037,Ruanda
Rumania,,,,,,Q218,Rumania
Rusia,,,,,,Q159,Rusia
Samoa,,,,,,Q683,Samoa
San Bartolomé (Francia),,,,,,Q25362,San Bartolomé (Francia)
San Cristóbal y Nieves,,,,,,Q763,San Cristóbal y Nieves
San Marino,,,,,,Q238,San Marino
