name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abhaasia,,,,,,Q23334,Abhaasia
Afganistan,004,AF,AFG,AFG,AFG,Q889,Afganistan
Akrotiri ja Dhekelia,,,,,,Q37362,Akrotiri ja Dhekelia
Albaania,,,,,,Q222,Albaania
Alžeeria,,,,,,Q262,Alžeeria
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua ja Barbuda,,,,,,Q781,Antigua ja Barbuda
Argentina,,,,,,Q414,Argentina
Armeenia,,,,,,Q399,Armeenia
Aruba,,,,,,Q21203,Aruba
Aserbaidžaan,,,,,,Q227,Aserbaidžaan
Austraalia,,,,,,Q408,Austraalia
Austria,040,AT,AUT,AUT,AUT,Q40,Austria
Bahama,,,,,,Q778,Bahama
Bahrein,,,,,,Q398,Bahrein
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belau,,,,,,Q695,Belau
Belgia,,,,,,Q31,Belgia
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Boliivia,,,,,,Q750,Boliivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia ja Hertsegoviina,,,,,,Q225,Bosnia ja Hertsegoviina
Botswana,,,,,,Q963,Botswana
Brasiilia,,,,,,Q155,Brasiilia
Briti India ookeani ala,,,,,,Q43448,Briti India ookeani ala
Briti Neitsisaared,,,,,,Q25305,Briti Neitsisaared
Brunei,,,,,,Q921,Brunei
Bulgaaria,,,,,,Q219,Bulgaaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Clipperton,,,,,,Q161258,Clipperton
Colombia,,,,,,Q739,Colombia
Costa Rica,,,,,,Q800,Costa Rica
Curaçao,,,,,,Q25279,Curaçao
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
