name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q846,Qatar
,,,,,,Q971,Republic of the Congo
,,,,,,Q218,Romania
,,,,,,Q159,Russia
,,,,,,Q1037,Rwanda
,,,,,,Q25528,Saba
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q25362,Saint Barthélemy
,,,,,,Q763,Saint Kitts and Nevis
,,,,,,Q760,Saint Lucia
,,,,,,Q126125,Saint Martin
,,,,,,Q34617,Saint Pierre and Miquelon
,,,,,,Q757,Saint Vincent and the Grenadines
,,,,,,Q683,Samoa
,,,,,,Q238,San Marino
,,,,,,Q851,Saudi Arabia
,,,,,,Q22,Scotland
,,,,,,Q1041,Senegal
,,,,,,Q403,Serbia
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
آبخاز,,,,,,Q23334,آبخاز
آروبا,,,,,,Q21203,آروبا
آرژانتین,,,,,,Q414,آرژانتین
آلبانی,,,,,,Q222,آلبانی
آلمان,,,,,,Q183,آلمان
آنتیگوآ و باربودا,,,,,,Q781,آنتیگوآ و باربودا
آندورا,,,,,,Q228,آندورا
آنگولا,,,,,,Q916,آنگولا
آنگویلا,,,,,,Q25228,آنگویلا
آکراتاری و داکیلیا,,,,,,Q37362,آکراتاری و داکیلیا
اتحاد قمر,,,,,,Q970,اتحاد قمر
اتریش,040,AT,AUT,AUT,AUT,Q40,اتریش
اتیوپی,,,,,,Q115,اتیوپی
اردن,,,,,,Q810,اردن
ارمنستان,,,,,,Q399,ارمنستان
اریتره,,,,,,Q986,اریتره
استرالیا,,,,,,Q408,استرالیا
استونی,,,,,,Q191,استونی
اسرائیل,,,,,,Q801,اسرائیل
اسواتینی,,,,,,Q1050,اسواتینی
افغانستان,004,AF,AFG,AFG,AFG,Q889,افغانستان
الجزایر,,,,,,Q262,الجزایر
السالوادور,,,,,,Q792,السالوادور
اندونزی,,,,,,Q252,اندونزی
انگلستان,,,,,,Q21,انگلستان
اکوادور,,,,,,Q736,اکوادور
ایالات فدرال میکرونزی,,,,,,Q702,ایالات فدرال میکرونزی
ایتالیا,,,,,,Q38,ایتالیا
ایران,,,,,,Q794,ایران
