name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
Abhasia,,,,,,Q23334,Abhasia
Afganistan,004,AF,AFG,AFG,AFG,Q889,Afganistan
Ahvenanmaan maakunta,,,,,,Q5689,Ahvenanmaan maakunta
Akrotíri ja Dekéleia,,,,,,Q37362,Akrotíri ja Dekéleia
Alankomaat,,,,,,Q55,Alankomaat
Albania,,,,,,Q222,Albania
Algeria,,,,,,Q262,Algeria
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua ja Barbuda,,,,,,Q781,Antigua ja Barbuda
Argentiina,,,,,,Q414,Argentiina
Armenia,,,,,,Q399,Armenia
Artsakhin tasavalta,,,,,,Q244165,Artsakhin tasavalta
Aruba,,,,,,Q21203,Aruba
Australia,,,,,,Q408,Australia
Azerbaidžan,,,,,,Q227,Azerbaidžan
Bahama,,,,,,Q778,Bahama
Bahrain,,,,,,Q398,Bahrain
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belgia,,,,,,Q31,Belgia
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia ja Hertsegovina,,,,,,Q225,Bosnia ja Hertsegovina
Botswana,,,,,,Q963,Botswana
Brasilia,,,,,,Q155,Brasilia
Brittiläinen Intian valtameren alue,,,,,,Q43448,Brittiläinen Intian valtameren alue
Brittiläiset Neitsytsaaret,,,,,,Q25305,Brittiläiset Neitsytsaaret
Brunei,,,,,,Q921,Brunei
Bulgaria,,,,,,Q219,Bulgaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Caymansaaret,,,,,,Q5785,Caymansaaret
Chile,,,,,,Q298,Chile
Clippertoninsaari,,,,,,Q161258,Clippertoninsaari
Costa Rica,,,,,,Q800,Costa Rica
Curaçao,,,,,,Q25279,Curaçao
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
Dominikaaninen tasavalta,,,,,,Q786,Dominikaaninen tasavalta
Ecuador,,,,,,Q736,Ecuador
Egypti,,,,,,Q79,Egypti
El Salvador,,,,,,Q792,El Salvador
