name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q400506,Unknown
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Абхазия,,,,,,Q23334,Абхазия
Акротири мен Декелия,,,,,,Q37362,Акротири мен Декелия
Албания,,,,,,Q222,Албания
Алжир,,,,,,Q262,Алжир
Америка Құрама Штаттары,,,,,,Q30,Америка Құрама Штаттары
Америкалық Вирджин аралдары,,,,,,Q11703,Америкалық Вирджин аралдары
Ангилья,,,,,,Q25228,Ангилья
Англия,,,,,,Q21,Англия
Ангола,,,,,,Q916,Ангола
Андорра,,,,,,Q228,Андорра
Антигуа және Барбуда,,,,,,Q781,Антигуа және Барбуда
Аргентина,,,,,,Q414,Аргентина
Армения,,,,,,Q399,Армения
Аруба,,,,,,Q21203,Аруба
Аустралия,,,,,,Q408,Аустралия
Аустрия,040,AT,AUT,AUT,AUT,Q40,Аустрия
Ауғанстан,004,AF,AFG,AFG,AFG,Q889,Ауғанстан
Багам аралдары,,,,,,Q778,Багам аралдары
Бангладеш,,,,,,Q902,Бангладеш
Барбадос,,,,,,Q244,Барбадос
Бахрейн,,,,,,Q398,Бахрейн
Беларусь,,,,,,Q184,Беларусь
Белиз,,,,,,Q242,Белиз
Бельгия,,,,,,Q31,Бельгия
Бенин,,,,,,Q962,Бенин
Бермудалар,,,,,,Q23635,Бермудалар
Болгария,,,,,,Q219,Болгария
Боливия,,,,,,Q750,Боливия
Бонэйр,,,,,,Q25396,Бонэйр
Босния және Герцеговина,,,,,,Q225,Босния және Герцеговина
Ботсвана,,,,,,Q963,Ботсвана
Бразилия,,,,,,Q155,Бразилия
Британдық Вирджин аралдары,,,,,,Q25305,Британдық Вирджин аралдары
Бруней,,,,,,Q921,Бруней
Буркина-Фасо,,,,,,Q965,Буркина-Фасо
Бурунди,,,,,,Q967,Бурунди
Бутан,,,,,,Q917,Бутан
Біріккен Араб Әмірліктері,,,,,,Q878,Біріккен Араб Әмірліктері
Вануату,,,,,,Q686,Вануату
Ватикан,,,,,,Q237,Ватикан
Венесуэла,,,,,,Q717,Венесуэла
Габон,,,,,,Q1000,Габон
Гаити,,,,,,Q790,Гаити
Гайана,,,,,,Q734,Гайана
Гамбия,,,,,,Q1005,Гамбия
Гана,,,,,,Q117,Гана
Гваделупа,,,,,,Q17012,Гваделупа
Гватемала,,,,,,Q774,Гватемала
Гвинея,,,,,,Q1006,Гвинея
Гвинея-Бисау,,,,,,Q1007,Гвинея-Бисау
Германия,,,,,,Q183,Германия
Гибралтар,,,,,,Q1410,Гибралтар
Гондурас,,,,,,Q783,Гондурас
Гонконг,,,,,,Q8646,Гонконг
Грекия,,,,,,Q41,Грекия
Гренада,,,,,,Q769,Гренада
Гренландия,,,,,,Q223,Гренландия
Грузия,,,,,,Q230,Грузия
Дания,,,,,,Q35,Дания
Джерси (арал),,,,,,Q785,Джерси (арал)
Джибути,,,,,,Q977,Джибути
Доминика,,,,,,Q784,Доминика
Доминикан Республикасы,,,,,,Q786,Доминикан Республикасы
Жапония,,,,,,Q17,Жапония
Жаңа Зеландия,,,,,,Q664,Жаңа Зеландия
Израиль,,,,,,Q801,Израиль
Индонезия,,,,,,Q252,Индонезия
Иордания,,,,,,Q810,Иордания
Ирак,,,,,,Q796,Ирак
Иран,,,,,,Q794,Иран
Ирландия,,,,,,Q27,Ирландия
Исландия,,,,,,Q189,Исландия
Испания,,,,,,Q29,Испания
Италия,,,,,,Q38,Италия
Кабо-Верде,,,,,,Q1011,Кабо-Верде
Кайман аралдары,,,,,,Q5785,Кайман аралдары
Камбоджа,,,,,,Q424,Камбоджа
Камерун,,,,,,Q1009,Камерун
Канада,,,,,,Q16,Канада
