name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q3311985,Guernsey
,,,,,,Q126125,Saint Martin
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abchazija,,,,,,Q23334,Abchazija
Afganistanas,004,AF,AFG,AFG,AFG,Q889,Afganistanas
Airija,,,,,,Q27,Airija
Akrotiris ir Dekelija,,,,,,Q37362,Akrotiris ir Dekelija
Albanija,,,,,,Q222,Albanija
Alžyras,,,,,,Q262,Alžyras
Andora,,,,,,Q228,Andora
Angilija,,,,,,Q25228,Angilija
Anglija,,,,,,Q21,Anglija
Angola,,,,,,Q916,Angola
Antigva ir Barbuda,,,,,,Q781,Antigva ir Barbuda
Argentina,,,,,,Q414,Argentina
Armėnija,,,,,,Q399,Armėnija
Aruba,,,,,,Q21203,Aruba
Australija,,,,,,Q408,Australija
Austrija,040,AT,AUT,AUT,AUT,Q40,Austrija
Azerbaidžanas,,,,,,Q227,Azerbaidžanas
Bahamos,,,,,,Q778,Bahamos
Bahreinas,,,,,,Q398,Bahreinas
Baltarusija,,,,,,Q184,Baltarusija
Bangladešas,,,,,,Q902,Bangladešas
Barbadosas,,,,,,Q244,Barbadosas
Belgija,,,,,,Q31,Belgija
Belizas,,,,,,Q242,Belizas
Beninas,,,,,,Q962,Beninas
Bermuda,,,,,,Q23635,Bermuda
Bisau Gvinėja,,,,,,Q1007,Bisau Gvinėja
Bolivija,,,,,,Q750,Bolivija
Boneras,,,,,,Q25396,Boneras
Bosnija ir Hercegovina,,,,,,Q225,Bosnija ir Hercegovina
Botsvana,,,,,,Q963,Botsvana
Brazilija,,,,,,Q155,Brazilija
Brunėjus,,,,,,Q921,Brunėjus
Bulgarija,,,,,,Q219,Bulgarija
Burkina Fasas,,,,,,Q965,Burkina Fasas
Burundis,,,,,,Q967,Burundis
Butanas,,,,,,Q917,Butanas
Centrinės Afrikos Respublika,,,,,,Q929,Centrinės Afrikos Respublika
Danija,,,,,,Q35,Danija
Dominika,,,,,,Q784,Dominika
Dominikos Respublika,,,,,,Q786,Dominikos Respublika
Dramblio Kaulo Krantas,,,,,,Q1008,Dramblio Kaulo Krantas
Džersis,,,,,,Q785,Džersis
Džibutis,,,,,,Q977,Džibutis
Egiptas,,,,,,Q79,Egiptas
Ekvadoras,,,,,,Q736,Ekvadoras
Eritrėja,,,,,,Q986,Eritrėja
Estija,,,,,,Q191,Estija
Esvatinis,,,,,,Q1050,Esvatinis
Etiopija,,,,,,Q115,Etiopija
Farerai,,,,,,Q4628,Farerai
Fidžis,,,,,,Q712,Fidžis
Filipinai,,,,,,Q928,Filipinai
Folklando (Malvinų) Salos,,,,,,Q9648,Folklando (Malvinų) Salos
Gabonas,,,,,,Q1000,Gabonas
Gajana,,,,,,Q734,Gajana
Gambija,,,,,,Q1005,Gambija
Gana,,,,,,Q117,Gana
Gibraltaras,,,,,,Q1410,Gibraltaras
Graikija,,,,,,Q41,Graikija
Grenada,,,,,,Q769,Grenada
