name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
ASV Virdžīnas,,,,,,Q11703,ASV Virdžīnas
Abhāzija,,,,,,Q23334,Abhāzija
Afganistāna,004,AF,AFG,AFG,AFG,Q889,Afganistāna
Akrotiri un Dekelija,,,,,,Q37362,Akrotiri un Dekelija
Albānija,,,,,,Q222,Albānija
Alžīrija,,,,,,Q262,Alžīrija
Amerikas Savienotās Valstis,,,,,,Q30,Amerikas Savienotās Valstis
Andora,,,,,,Q228,Andora
Angilja,,,,,,Q25228,Angilja
Anglija,,,,,,Q21,Anglija
Angola,,,,,,Q916,Angola
Antigva un Barbuda,,,,,,Q781,Antigva un Barbuda
Apvienotie Arābu Emirāti,,,,,,Q878,Apvienotie Arābu Emirāti
Apvienotā Karaliste,,,,,,Q145,Apvienotā Karaliste
Arcahas Republika,,,,,,Q244165,Arcahas Republika
Argentīna,,,,,,Q414,Argentīna
Armēnija,,,,,,Q399,Armēnija
Aruba,,,,,,Q21203,Aruba
Austrija,040,AT,AUT,AUT,AUT,Q40,Austrija
Austrumtimora,,,,,,Q574,Austrumtimora
Austrālija,,,,,,Q408,Austrālija
Azerbaidžāna,,,,,,Q227,Azerbaidžāna
Bahamu Salas,,,,,,Q778,Bahamu Salas
Bahreina,,,,,,Q398,Bahreina
Baltkrievija,,,,,,Q184,Baltkrievija
Bangladeša,,,,,,Q902,Bangladeša
Barbadosa,,,,,,Q244,Barbadosa
Beliza,,,,,,Q242,Beliza
Benina,,,,,,Q962,Benina
Bermudu salas,,,,,,Q23635,Bermudu salas
Beļģija,,,,,,Q31,Beļģija
Bolīvija,,,,,,Q750,Bolīvija
Bonaire,,,,,,Q25396,Bonaire
Bosnija un Hercegovina,,,,,,Q225,Bosnija un Hercegovina
Botsvāna,,,,,,Q963,Botsvāna
Brazīlija,,,,,,Q155,Brazīlija
Britu Indijas Okeāna Teritorija,,,,,,Q43448,Britu Indijas Okeāna Teritorija
Britu Virdžīnas,,,,,,Q25305,Britu Virdžīnas
Bruneja,,,,,,Q921,Bruneja
Bulgārija,,,,,,Q219,Bulgārija
Burkinafaso,,,,,,Q965,Burkinafaso
Burundija,,,,,,Q967,Burundija
Butāna,,,,,,Q917,Butāna
Centrālāfrikas Republika,,,,,,Q929,Centrālāfrikas Republika
Dienviddžordžija un Dienvidsendviču Salas,,,,,,Q35086,Dienviddžordžija un Dienvidsendviču Salas
Dienvidkoreja,,,,,,Q884,Dienvidkoreja
Dienvidosetija,,,,,,Q23427,Dienvidosetija
Dienvidsudāna,,,,,,Q958,Dienvidsudāna
Dienvidāfrika,,,,,,Q258,Dienvidāfrika
Dominika,,,,,,Q784,Dominika
Dominikāna,,,,,,Q786,Dominikāna
Dānija,,,,,,Q35,Dānija
Džibutija,,,,,,Q977,Džibutija
Džērsija,,,,,,Q785,Džērsija
Ekvadora,,,,,,Q736,Ekvadora
Ekvatoriālā Gvineja,,,,,,Q983,Ekvatoriālā Gvineja
Eritreja,,,,,,Q986,Eritreja
Etiopija,,,,,,Q115,Etiopija
Fidži,,,,,,Q712,Fidži
Filipīnas,,,,,,Q928,Filipīnas
Folklenda Salas,,,,,,Q9648,Folklenda Salas
Francija,,,,,,Q142,Francija
Fēru Salas,,,,,,Q4628,Fēru Salas
Gabona,,,,,,Q1000,Gabona
Gajāna,,,,,,Q734,Gajāna
Gambija,,,,,,Q1005,Gambija
Gana,,,,,,Q117,Gana
Gibraltārs,,,,,,Q1410,Gibraltārs
Grenlande,,,,,,Q223,Grenlande
Grenāda,,,,,,Q769,Grenāda
Grieķija,,,,,,Q41,Grieķija
Gruzija,,,,,,Q230,Gruzija
Gvadelupa,,,,,,Q17012,Gvadelupa
Gvatemala,,,,,,Q774,Gvatemala
Gvineja,,,,,,Q1006,Gvineja
Gvineja-Bisava,,,,,,Q1007,Gvineja-Bisava
Gviāna,,,,,,Q3769,Gviāna
Haiti,,,,,,Q790,Haiti
Hondurasa,,,,,,Q783,Hondurasa
Honkonga,,,,,,Q8646,Honkonga
Horvātija,,,,,,Q224,Horvātija
Igaunija,,,,,,Q191,Igaunija
Indija,,,,,,Q668,Indija
Indonēzija,,,,,,Q252,Indonēzija
Irāka,,,,,,Q796,Irāka
Irāna,,,,,,Q794,Irāna
Islande,,,,,,Q189,Islande
Itālija,,,,,,Q38,Itālija
Izraēla,,,,,,Q801,Izraēla
Jamaika,,,,,,Q766,Jamaika
Japāna,,,,,,Q17,Japāna
Jaunzēlande,,,,,,Q664,Jaunzēlande
Jemena,,,,,,Q805,Jemena
Jordānija,,,,,,Q810,Jordānija
Kaboverde,,,,,,Q1011,Kaboverde
Kaimanu Salas,,,,,,Q5785,Kaimanu Salas
Kambodža,,,,,,Q424,Kambodža
Kamerūna,,,,,,Q1009,Kamerūna
Kanāda,,,,,,Q16,Kanāda
Katara,,,,,,Q846,Katara
Kazahstāna,,,,,,Q232,Kazahstāna
Kenija,,,,,,Q114,Kenija
Kipra,,,,,,Q229,Kipra
Kirasao,,,,,,Q25279,Kirasao
Kirgizstāna,,,,,,Q813,Kirgizstāna
Kiribati,,,,,,Q710,Kiribati
Klipertona sala,,,,,,Q161258,Klipertona sala
Kokosu (Kīlinga) Salas,,,,,,Q36004,Kokosu (Kīlinga) Salas
Kolumbija,,,,,,Q739,Kolumbija
Komoras,,,,,,Q970,Komoras
Kongo Demokrātiskā Republika,,,,,,Q974,Kongo Demokrātiskā Republika
Kongo Republika,,,,,,Q971,Kongo Republika
Kosova,,,,,,Q1246,Kosova
Kostarika,,,,,,Q800,Kostarika
Kotdivuāra,,,,,,Q1008,Kotdivuāra
Krievija,,,,,,Q159,Krievija
Kuba,,,,,,Q241,Kuba
Kuveita,,,,,,Q817,Kuveita
Laosa,,,,,,Q819,Laosa
Latvija,,,,,,Q211,Latvija
Lesoto,,,,,,Q1013,Lesoto
Libāna,,,,,,Q822,Libāna
Libērija,,,,,,Q1014,Libērija
Lietuva,,,,,,Q37,Lietuva
Lihtenšteina,,,,,,Q347,Lihtenšteina
Luksemburga,,,,,,Q32,Luksemburga
Lībija,,,,,,Q1016,Lībija
Madagaskara,,,,,,Q1019,Madagaskara
Makao,,,,,,Q14773,Makao
Malaizija,,,,,,Q833,Malaizija
Maldīvija,,,,,,Q826,Maldīvija
Mali,,,,,,Q912,Mali
Malta,,,,,,Q233,Malta
Malāvija,,,,,,Q1020,Malāvija
Maroka,,,,,,Q1028,Maroka
Martinika,,,,,,Q17054,Martinika
Mauritānija,,,,,,Q1025,Mauritānija
Maurīcija,,,,,,Q1027,Maurīcija
Meksika,,,,,,Q96,Meksika
Melnkalne,,,,,,Q236,Melnkalne
Menas Sala,,,,,,Q9676,Menas Sala
Mikronēzija (valsts),,,,,,Q702,Mikronēzija (valsts)
Mjanma,,,,,,Q836,Mjanma
Moldova,,,,,,Q217,Moldova
Monako,,,,,,Q235,Monako
Mongolija,,,,,,Q711,Mongolija
Montserrata,,,,,,Q13353,Montserrata
Mozambika,,,,,,Q1029,Mozambika
Māršala Salas,,,,,,Q709,Māršala Salas
Namībija,,,,,,Q1030,Namībija
Nauru,,,,,,Q697,Nauru
Navasa,,,,,,Q25359,Navasa
Nepāla,,,,,,Q837,Nepāla
Nigēra,,,,,,Q1032,Nigēra
Nigērija,,,,,,Q1033,Nigērija
Nikaragva,,,,,,Q811,Nikaragva
Norvēģija,,,,,,Q20,Norvēģija
Nīderlande,,,,,,Q55,Nīderlande
Olande,,,,,,Q5689,Olande
Omāna,,,,,,Q842,Omāna
Pakistāna,,,,,,Q843,Pakistāna
Palau,,,,,,Q695,Palau
Palestīnas Valsts,,,,,,Q219060,Palestīnas Valsts
Panama,,,,,,Q804,Panama
Papua-Jaungvineja,,,,,,Q691,Papua-Jaungvineja
Paragvaja,,,,,,Q733,Paragvaja
Peru,,,,,,Q419,Peru
Piedņestra,,,,,,Q907112,Piedņestra
Polija,,,,,,Q36,Polija
Portugāle,,,,,,Q45,Portugāle
Puertoriko,,,,,,Q1183,Puertoriko
Ruanda,,,,,,Q1037,Ruanda
Rumānija,,,,,,Q218,Rumānija
Saba,,,,,,Q25528,Saba
Sahāras Arābu Demokrātiskā Republika,,,,,,Q40362,Sahāras Arābu Demokrātiskā Republika
Salvadora,,,,,,Q792,Salvadora
Samoa,,,,,,Q683,Samoa
Sanmarīno,,,,,,Q238,Sanmarīno
Santome un Prinsipi,,,,,,Q1039,Santome un Prinsipi
Saūda Arābija,,,,,,Q851,Saūda Arābija
Seišelas,,,,,,Q1042,Seišelas
Senbartelmī,,,,,,Q25362,Senbartelmī
Senegāla,,,,,,Q1041,Senegāla
