name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q126125,Saint Martin
,,,,,,Q219060,State of Palestine
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abkhasia,,,,,,Q23334,Abkhasia
Afghanistan,004,AF,AFG,AFG,AFG,Q889,Afghanistan
Akrotíri og Dekélia,,,,,,Q37362,Akrotíri og Dekélia
Albania,,,,,,Q222,Albania
Algerie,,,,,,Q262,Algerie
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua og Barbuda,,,,,,Q781,Antigua og Barbuda
Argentina,,,,,,Q414,Argentina
Armenia,,,,,,Q399,Armenia
Aruba,,,,,,Q21203,Aruba
Aserbajdsjan,,,,,,Q227,Aserbajdsjan
Aust-Timor,,,,,,Q574,Aust-Timor
Austerrike,040,AT,AUT,AUT,AUT,Q40,Austerrike
Australia,,,,,,Q408,Australia
Bahrain,,,,,,Q398,Bahrain
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belarus,,,,,,Q184,Belarus
Belgia,,,,,,Q31,Belgia
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia-Hercegovina,,,,,,Q225,Bosnia-Hercegovina
Botswana,,,,,,Q963,Botswana
Brasil,,,,,,Q155,Brasil
Brunei,,,,,,Q921,Brunei
Bulgaria,,,,,,Q219,Bulgaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Canada,,,,,,Q16,Canada
Caymanøyane,,,,,,Q5785,Caymanøyane
Chile,,,,,,Q298,Chile
Christmasøya,,,,,,Q31063,Christmasøya
Clipperton,,,,,,Q161258,Clipperton
Colombia,,,,,,Q739,Colombia
Costa Rica,,,,,,Q800,Costa Rica
Cuba,,,,,,Q241,Cuba
Curaçao,,,,,,Q25279,Curaçao
Danmark,,,,,,Q35,Danmark
Dei britiske Jomfruøyane,,,,,,Q25305,Dei britiske Jomfruøyane
Den demokratiske republikken Kongo,,,,,,Q974,Den demokratiske republikken Kongo
Den dominikanske republikken,,,,,,Q786,Den dominikanske republikken
Den sentralafrikanske republikken,,,,,,Q929,Den sentralafrikanske republikken
Det britiske territoriet i Indiahavet,,,,,,Q43448,Det britiske territoriet i Indiahavet
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
Ecuador,,,,,,Q736,Ecuador
Egypt,,,,,,Q79,Egypt
Ekvatorial-Guinea,,,,,,Q983,Ekvatorial-Guinea
El Salvador,,,,,,Q792,El Salvador
Elfenbeinskysten,,,,,,Q1008,Elfenbeinskysten
England,,,,,,Q21,England
Eritrea,,,,,,Q986,Eritrea
Estland,,,,,,Q191,Estland
Eswatini,,,,,,Q1050,Eswatini
Etiopia,,,,,,Q115,Etiopia
Falklandsøyane,,,,,,Q9648,Falklandsøyane
Fiji,,,,,,Q712,Fiji
Filippinane,,,,,,Q928,Filippinane
Finland,,,,,,Q33,Finland
Folkerepublikken Kina,,,,,,Q148,Folkerepublikken Kina
Frankrike,,,,,,Q142,Frankrike
Fransk Guyana,,,,,,Q3769,Fransk Guyana
Færøyane,,,,,,Q4628,Færøyane
Gabon,,,,,,Q1000,Gabon
Georgia,,,,,,Q230,Georgia
Ghana,,,,,,Q117,Ghana
Gibraltar,,,,,,Q1410,Gibraltar
Grenada,,,,,,Q769,Grenada
Grønland,,,,,,Q223,Grønland
Guadeloupe,,,,,,Q17012,Guadeloupe
Guatemala,,,,,,Q774,Guatemala
Guinea,,,,,,Q1006,Guinea
Guinea-Bissau,,,,,,Q1007,Guinea-Bissau
Guyana,,,,,,Q734,Guyana
Haiti,,,,,,Q790,Haiti
Hellas,,,,,,Q41,Hellas
Honduras,,,,,,Q783,Honduras
Hongkong,,,,,,Q8646,Hongkong
India,,,,,,Q668,India
Indonesia,,,,,,Q252,Indonesia
Irak,,,,,,Q796,Irak
Iran,,,,,,Q794,Iran
Island,,,,,,Q189,Island
Israel,,,,,,Q801,Israel
Italia,,,,,,Q38,Italia
Jamaica,,,,,,Q766,Jamaica
Japan,,,,,,Q17,Japan
Jersey,,,,,,Q785,Jersey
Jordan,,,,,,Q810,Jordan
Kambodsja,,,,,,Q424,Kambodsja
Kamerun,,,,,,Q1009,Kamerun
Kapp Verde,,,,,,Q1011,Kapp Verde
Kasakhstan,,,,,,Q232,Kasakhstan
Kenya,,,,,,Q114,Kenya
Kirgisistan,,,,,,Q813,Kirgisistan
Kiribati,,,,,,Q710,Kiribati
Kokosøyane,,,,,,Q36004,Kokosøyane
Komorane,,,,,,Q970,Komorane
Kongo-Brazzaville,,,,,,Q971,Kongo-Brazzaville
Kosovo,,,,,,Q1246,Kosovo
Kroatia,,,,,,Q224,Kroatia
Kuwait,,,,,,Q817,Kuwait
Laos,,,,,,Q819,Laos
Latvia,,,,,,Q211,Latvia
Lesotho,,,,,,Q1013,Lesotho
Libanon,,,,,,Q822,Libanon
Liberia,,,,,,Q1014,Liberia
Libya,,,,,,Q1016,Libya
Liechtenstein,,,,,,Q347,Liechtenstein
Litauen,,,,,,Q37,Litauen
Luxembourg,,,,,,Q32,Luxembourg
Macao,,,,,,Q14773,Macao
Madagaskar,,,,,,Q1019,Madagaskar
Malawi,,,,,,Q1020,Malawi
Malaysia,,,,,,Q833,Malaysia
Maldivane,,,,,,Q826,Maldivane
Mali,,,,,,Q912,Mali
Malta,,,,,,Q233,Malta
Marokko,,,,,,Q1028,Marokko
Marshalløyane,,,,,,Q709,Marshalløyane
Martinique,,,,,,Q17054,Martinique
Mauritania,,,,,,Q1025,Mauritania
Mauritius,,,,,,Q1027,Mauritius
Mexico,,,,,,Q96,Mexico
Mikronesiaføderasjonen,,,,,,Q702,Mikronesiaføderasjonen
Moldova,,,,,,Q217,Moldova
Monaco,,,,,,Q235,Monaco
Mongolia,,,,,,Q711,Mongolia
Montenegro,,,,,,Q236,Montenegro
Montserrat,,,,,,Q13353,Montserrat
Mosambik,,,,,,Q1029,Mosambik
Myanmar,,,,,,Q836,Myanmar
Namibia,,,,,,Q1030,Namibia
Nauru,,,,,,Q697,Nauru
Nederland,,,,,,Q55,Nederland
Nepal,,,,,,Q837,Nepal
New Zealand,,,,,,Q664,New Zealand
Nicaragua,,,,,,Q811,Nicaragua
Niger,,,,,,Q1032,Niger
Nigeria,,,,,,Q1033,Nigeria
Nord-Irland,,,,,,Q26,Nord-Irland
Nord-Korea,,,,,,Q423,Nord-Korea
Nord-Kypros,,,,,,Q23681,Nord-Kypros
Nord-Makedonia,,,,,,Q221,Nord-Makedonia
Noreg,,,,,,Q20,Noreg
Oman,,,,,,Q842,Oman
Pakistan,,,,,,Q843,Pakistan
Palau,,,,,,Q695,Palau
Panama,,,,,,Q804,Panama
Papua Ny-Guinea,,,,,,Q691,Papua Ny-Guinea
Paraguay,,,,,,Q733,Paraguay
Peru,,,,,,Q419,Peru
Polen,,,,,,Q36,Polen
Portugal,,,,,,Q45,Portugal
Puerto Rico,,,,,,Q1183,Puerto Rico
Qatar,,,,,,Q846,Qatar
Republikken Irland,,,,,,Q27,Republikken Irland
Republikken Kypros,,,,,,Q229,Republikken Kypros
Romania,,,,,,Q218,Romania
Russland,,,,,,Q159,Russland
Rwanda,,,,,,Q1037,Rwanda
Saba (fleirtyding),,,,,,Q25528,Saba (fleirtyding)
Saint Kitts og Nevis,,,,,,Q763,Saint Kitts og Nevis
Saint Lucia,,,,,,Q760,Saint Lucia
Saint Vincent og Grenadinane,,,,,,Q757,Saint Vincent og Grenadinane
Saint-Barthélemy,,,,,,Q25362,Saint-Barthélemy
Saint-Pierre-et-Miquelon,,,,,,Q34617,Saint-Pierre-et-Miquelon
Salomonøyane,,,,,,Q685,Salomonøyane
Samoa,,,,,,Q683,Samoa
San Marino,,,,,,Q238,San Marino
Saudi-Arabia,,,,,,Q851,Saudi-Arabia
Senegal,,,,,,Q1041,Senegal
Serbia,,,,,,Q403,Serbia
Seychellane,,,,,,Q1042,Seychellane
Sierra Leone,,,,,,Q1044,Sierra Leone
Singapore,,,,,,Q334,Singapore
Sint Eustatius,,,,,,Q26180,Sint Eustatius
Sint Maarten,,,,,,Q26273,Sint Maarten
Skottland,,,,,,Q22,Skottland
Slovakia,,,,,,Q214,Slovakia
Slovenia,,,,,,Q215,Slovenia
Somalia,,,,,,Q1045,Somalia
Somaliland,,,,,,Q34754,Somaliland
Spania,,,,,,Q29,Spania
Sri Lanka,,,,,,Q854,Sri Lanka
Sudan,,,,,,Q1049,Sudan
Surinam,,,,,,Q730,Surinam
Svalbard,,,,,,Q25231,Svalbard
Sør-Afrika,,,,,,Q258,Sør-Afrika
Sør-Georgia og Sør-Sandwichøyane,,,,,,Q35086,Sør-Georgia og Sør-Sandwichøyane
Sør-Korea,,,,,,Q884,Sør-Korea
Sør-Ossetia,,,,,,Q23427,Sør-Ossetia
Sør-Sudan,,,,,,Q958,Sør-Sudan
Tsjad,,,,,,Q657,Tsjad
Tsjekkia,,,,,,Q213,Tsjekkia
Tyskland,,,,,,Q183,Tyskland
Ungarn,,,,,,Q28,Ungarn
Øya Man,,,,,,Q9676,Øya Man
