name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q3311985,Guernsey
,,,,,,Q126125,Saint Martin
,,,,,,Q400506,Unknown
Abkhasia,,,,,,Q23334,Abkhasia
Afghanistan,004,AF,AFG,AFG,AFG,Q889,Afghanistan
Akrotiri og Dekelia,,,,,,Q37362,Akrotiri og Dekelia
Albania,,,,,,Q222,Albania
Algerie,,,,,,Q262,Algerie
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua og Barbuda,,,,,,Q781,Antigua og Barbuda
Argentina,,,,,,Q414,Argentina
Armenia,,,,,,Q399,Armenia
Aruba,,,,,,Q21203,Aruba
Aserbajdsjan,,,,,,Q227,Aserbajdsjan
Australia,,,,,,Q408,Australia
Bahamas,,,,,,Q778,Bahamas
Bahrain,,,,,,Q398,Bahrain
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belarus,,,,,,Q184,Belarus
Belgia,,,,,,Q31,Belgia
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnia-Hercegovina,,,,,,Q225,Bosnia-Hercegovina
Botswana,,,,,,Q963,Botswana
Brasil,,,,,,Q155,Brasil
Brunei,,,,,,Q921,Brunei
Bulgaria,,,,,,Q219,Bulgaria
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Canada,,,,,,Q16,Canada
Caymanøyene,,,,,,Q5785,Caymanøyene
Chile,,,,,,Q298,Chile
Christmasøya,,,,,,Q31063,Christmasøya
Clipperton,,,,,,Q161258,Clipperton
Colombia,,,,,,Q739,Colombia
Costa Rica,,,,,,Q800,Costa Rica
Cuba,,,,,,Q241,Cuba
Curaçao,,,,,,Q25279,Curaçao
Danmark,,,,,,Q35,Danmark
De amerikanske Jomfruøyer,,,,,,Q11703,De amerikanske Jomfruøyer
De britiske Jomfruøyer,,,,,,Q25305,De britiske Jomfruøyer
De forente arabiske emirater,,,,,,Q878,De forente arabiske emirater
Den demokratiske republikken Kongo,,,,,,Q974,Den demokratiske republikken Kongo
Den dominikanske republikk,,,,,,Q786,Den dominikanske republikk
Den saharawiske arabiske demokratiske republikk,,,,,,Q40362,Den saharawiske arabiske demokratiske republikk
Den sentralafrikanske republikk,,,,,,Q929,Den sentralafrikanske republikk
Det britiske territoriet i Indiahavet,,,,,,Q43448,Det britiske territoriet i Indiahavet
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
Ecuador,,,,,,Q736,Ecuador
Egypt,,,,,,Q79,Egypt
Ekvatorial-Guinea,,,,,,Q983,Ekvatorial-Guinea
El Salvador,,,,,,Q792,El Salvador
Elfenbenskysten,,,,,,Q1008,Elfenbenskysten
England,,,,,,Q21,England
Eritrea,,,,,,Q986,Eritrea
Estland,,,,,,Q191,Estland
Eswatini,,,,,,Q1050,Eswatini
Etiopia,,,,,,Q115,Etiopia
Falklandsøyene,,,,,,Q9648,Falklandsøyene
Fiji,,,,,,Q712,Fiji
Filippinene,,,,,,Q928,Filippinene
Finland,,,,,,Q33,Finland
Frankrike,,,,,,Q142,Frankrike
Fransk Guyana,,,,,,Q3769,Fransk Guyana
Færøyene,,,,,,Q4628,Færøyene
Gabon,,,,,,Q1000,Gabon
Gambia,,,,,,Q1005,Gambia
Georgia,,,,,,Q230,Georgia
Ghana,,,,,,Q117,Ghana
Gibraltar,,,,,,Q1410,Gibraltar
Grenada,,,,,,Q769,Grenada
Grønland,,,,,,Q223,Grønland
Guadeloupe,,,,,,Q17012,Guadeloupe
Guatemala,,,,,,Q774,Guatemala
