name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q1027,Mauritius
,,,,,,Q96,Mexico
,,,,,,Q217,Moldova
,,,,,,Q235,Monaco
,,,,,,Q711,Mongolia
,,,,,,Q236,Montenegro
,,,,,,Q13353,Montserrat
,,,,,,Q1028,Morocco
,,,,,,Q1029,Mozambique
,,,,,,Q836,Myanmar
,,,,,,Q1030,Namibia
,,,,,,Q697,Nauru
,,,,,,Q25359,Navassa Island
,,,,,,Q837,Nepal
,,,,,,Q55,Netherlands
,,,,,,Q664,New Zealand
,,,,,,Q811,Nicaragua
,,,,,,Q1032,Niger
,,,,,,Q1033,Nigeria
,,,,,,Q423,North Korea
,,,,,,Q221,North Macedonia
,,,,,,Q23681,Northern Cyprus
,,,,,,Q26,Northern Ireland
,,,,,,Q20,Norway
,,,,,,Q842,Oman
,,,,,,Q843,Pakistan
,,,,,,Q695,Palau
,,,,,,Q804,Panama
,,,,,,Q691,Papua New Guinea
,,,,,,Q733,Paraguay
,,,,,,Q419,Peru
,,,,,,Q928,Philippines
,,,,,,Q36,Poland
,,,,,,Q45,Portugal
,,,,,,Q1183,Puerto Rico
,,,,,,Q846,Qatar
,,,,,,Q971,Republic of the Congo
,,,,,,Q218,Romania
,,,,,,Q159,Russia
,,,,,,Q1037,Rwanda
,,,,,,Q25528,Saba
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q25362,Saint Barthélemy
,,,,,,Q763,Saint Kitts and Nevis
,,,,,,Q760,Saint Lucia
,,,,,,Q126125,Saint Martin
,,,,,,Q34617,Saint Pierre and Miquelon
,,,,,,Q757,Saint Vincent and the Grenadines
,,,,,,Q683,Samoa
,,,,,,Q238,San Marino
,,,,,,Q851,Saudi Arabia
,,,,,,Q22,Scotland
,,,,,,Q1041,Senegal
,,,,,,Q403,Serbia
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abecásia,,,,,,Q23334,Abecásia
Acrotíri e Deceleia,,,,,,Q37362,Acrotíri e Deceleia
Afeganistão,004,AF,AFG,AFG,AFG,Q889,Afeganistão
Albânia,,,,,,Q222,Albânia
Alemanha,,,,,,Q183,Alemanha
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguila,,,,,,Q25228,Anguila
Antígua e Barbuda,,,,,,Q781,Antígua e Barbuda
Argentina,,,,,,Q414,Argentina
Argélia,,,,,,Q262,Argélia
Arménia,,,,,,Q399,Arménia
Artsaque,,,,,,Q244165,Artsaque
Aruba,,,,,,Q21203,Aruba
Austrália,,,,,,Q408,Austrália
Azerbaijão,,,,,,Q227,Azerbaijão
Bahrein,,,,,,Q398,Bahrein
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belize,,,,,,Q242,Belize
Benim,,,,,,Q962,Benim
Bermudas,,,,,,Q23635,Bermudas
Bielorrússia,,,,,,Q184,Bielorrússia
Bolívia,,,,,,Q750,Bolívia
Bonaire,,,,,,Q25396,Bonaire
Botswana,,,,,,Q963,Botswana
Brasil,,,,,,Q155,Brasil
Brunei,,,,,,Q921,Brunei
Bulgária,,,,,,Q219,Bulgária
Burquina Fasso,,,,,,Q965,Burquina Fasso
Burundi,,,,,,Q967,Burundi
Butão,,,,,,Q917,Butão
Bélgica,,,,,,Q31,Bélgica
Bósnia e Herzegovina,,,,,,Q225,Bósnia e Herzegovina
Cabo Verde,,,,,,Q1011,Cabo Verde
Camarões,,,,,,Q1009,Camarões
Camboja,,,,,,Q424,Camboja
Canadá,,,,,,Q16,Canadá
Cazaquistão,,,,,,Q232,Cazaquistão
Chade,,,,,,Q657,Chade
Chile,,,,,,Q298,Chile
China,,,,,,Q148,China
Chipre,,,,,,Q229,Chipre
Chéquia,,,,,,Q213,Chéquia
Colômbia,,,,,,Q739,Colômbia
Comores,,,,,,Q970,Comores
Costa Rica,,,,,,Q800,Costa Rica
Costa do Marfim,,,,,,Q1008,Costa do Marfim
Croácia,,,,,,Q224,Croácia
Cuba,,,,,,Q241,Cuba
Curaçau,,,,,,Q25279,Curaçau
Dinamarca,,,,,,Q35,Dinamarca
Djibouti,,,,,,Q977,Djibouti
Dominica,,,,,,Q784,Dominica
Egito,,,,,,Q79,Egito
El Salvador,,,,,,Q792,El Salvador
Equador,,,,,,Q736,Equador
Eritreia,,,,,,Q986,Eritreia
Essuatíni,,,,,,Q1050,Essuatíni
Estados Federados da Micronésia,,,,,,Q702,Estados Federados da Micronésia
Estónia,,,,,,Q191,Estónia
Etiópia,,,,,,Q115,Etiópia
Fiji,,,,,,Q712,Fiji
Finlândia,,,,,,Q33,Finlândia
França,,,,,,Q142,França
Gabão,,,,,,Q1000,Gabão
Gana,,,,,,Q117,Gana
Geórgia,,,,,,Q230,Geórgia
Gibraltar,,,,,,Q1410,Gibraltar
Granada (país),,,,,,Q769,Granada (país)
Gronelândia,,,,,,Q223,Gronelândia
Grécia,,,,,,Q41,Grécia
Guadalupe,,,,,,Q17012,Guadalupe
Guatemala,,,,,,Q774,Guatemala
Guiana,,,,,,Q734,Guiana
Guiana Francesa,,,,,,Q3769,Guiana Francesa
Guiné,,,,,,Q1006,Guiné
Guiné Equatorial,,,,,,Q983,Guiné Equatorial
Guiné-Bissau,,,,,,Q1007,Guiné-Bissau
Haiti,,,,,,Q790,Haiti
Honduras,,,,,,Q783,Honduras
Hong Kong,,,,,,Q8646,Hong Kong
Hungria,,,,,,Q28,Hungria
Ilha Christmas,,,,,,Q31063,Ilha Christmas
Ilha de Clipperton,,,,,,Q161258,Ilha de Clipperton
Ilha de Man,,,,,,Q9676,Ilha de Man
Ilhas Cayman,,,,,,Q5785,Ilhas Cayman
Ilhas Cocos (Keeling),,,,,,Q36004,Ilhas Cocos (Keeling)
