name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q1019,Madagascar
,,,,,,Q1020,Malawi
,,,,,,Q833,Malaysia
,,,,,,Q826,Maldives
,,,,,,Q912,Mali
,,,,,,Q233,Malta
,,,,,,Q709,Marshall Islands
,,,,,,Q17054,Martinique
,,,,,,Q1025,Mauritania
,,,,,,Q1027,Mauritius
,,,,,,Q96,Mexico
,,,,,,Q217,Moldova
,,,,,,Q235,Monaco
,,,,,,Q711,Mongolia
,,,,,,Q236,Montenegro
,,,,,,Q13353,Montserrat
,,,,,,Q1028,Morocco
,,,,,,Q1029,Mozambique
,,,,,,Q836,Myanmar
,,,,,,Q1030,Namibia
,,,,,,Q697,Nauru
,,,,,,Q25359,Navassa Island
,,,,,,Q837,Nepal
,,,,,,Q55,Netherlands
,,,,,,Q664,New Zealand
,,,,,,Q811,Nicaragua
,,,,,,Q1032,Niger
,,,,,,Q1033,Nigeria
,,,,,,Q423,North Korea
,,,,,,Q221,North Macedonia
,,,,,,Q23681,Northern Cyprus
,,,,,,Q26,Northern Ireland
,,,,,,Q20,Norway
,,,,,,Q842,Oman
,,,,,,Q843,Pakistan
,,,,,,Q695,Palau
,,,,,,Q804,Panama
,,,,,,Q691,Papua New Guinea
,,,,,,Q733,Paraguay
,,,,,,Q419,Peru
,,,,,,Q928,Philippines
,,,,,,Q36,Poland
,,,,,,Q45,Portugal
,,,,,,Q1183,Puerto Rico
,,,,,,Q846,Qatar
,,,,,,Q971,Republic of the Congo
,,,,,,Q218,Romania
,,,,,,Q159,Russia
,,,,,,Q1037,Rwanda
,,,,,,Q25528,Saba
,,,,,,Q40362,Sahrawi Arab Democratic Republic
,,,,,,Q25362,Saint Barthélemy
,,,,,,Q763,Saint Kitts and Nevis
,,,,,,Q760,Saint Lucia
,,,,,,Q126125,Saint Martin
,,,,,,Q34617,Saint Pierre and Miquelon
,,,,,,Q757,Saint Vincent and the Grenadines
,,,,,,Q683,Samoa
,,,,,,Q238,San Marino
,,,,,,Q851,Saudi Arabia
,,,,,,Q22,Scotland
,,,,,,Q1041,Senegal
,,,,,,Q403,Serbia
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
,,,,,,Q37362,Akrotiri and Dhekelia
Јамајка,,,,,,Q766,Јамајка
Јапан,,,,,,Q17,Јапан
Јерменија,,,,,,Q399,Јерменија
Јордан,,,,,,Q810,Јордан
Њемачка,,,,,,Q183,Њемачка
Џерзи,,,,,,Q785,Џерзи
Џибути,,,,,,Q977,Џибути
Абхазија,,,,,,Q23334,Абхазија
Авганистан,004,AF,AFG,AFG,AFG,Q889,Авганистан
Азербејџан,,,,,,Q227,Азербејџан
Албанија,,,,,,Q222,Албанија
Алжир,,,,,,Q262,Алжир
Ангвила,,,,,,Q25228,Ангвила
Ангола,,,,,,Q916,Ангола
Андора,,,,,,Q228,Андора
Антигва и Барбуда,,,,,,Q781,Антигва и Барбуда
Аргентина,,,,,,Q414,Аргентина
Аруба,,,,,,Q21203,Аруба
Аустралија,,,,,,Q408,Аустралија
Аустрија,040,AT,AUT,AUT,AUT,Q40,Аустрија
Бангладеш,,,,,,Q902,Бангладеш
Барбадос,,,,,,Q244,Барбадос
Бахреин,,,,,,Q398,Бахреин
Белгија,,,,,,Q31,Белгија
Белизе,,,,,,Q242,Белизе
Белорусија,,,,,,Q184,Белорусија
Бенин,,,,,,Q962,Бенин
Бермуди,,,,,,Q23635,Бермуди
Божићно Острво,,,,,,Q31063,Божићно Острво
Боливија,,,,,,Q750,Боливија
Бонер,,,,,,Q25396,Бонер
Босна и Херцеговина,,,,,,Q225,Босна и Херцеговина
Боцвана,,,,,,Q963,Боцвана
Бразил,,,,,,Q155,Бразил
Британска Девичанска Острва,,,,,,Q25305,Британска Девичанска Острва
Британска територија Индијског океана,,,,,,Q43448,Британска територија Индијског океана
Брунеј,,,,,,Q921,Брунеј
Бугарска,,,,,,Q219,Бугарска
Буркина Фасо,,,,,,Q965,Буркина Фасо
Бурунди,,,,,,Q967,Бурунди
Бутан,,,,,,Q917,Бутан
Габон,,,,,,Q1000,Габон
Гана,,,,,,Q117,Гана
Гваделуп,,,,,,Q17012,Гваделуп
Гватемала,,,,,,Q774,Гватемала
Гвајана,,,,,,Q734,Гвајана
Гвинеја,,,,,,Q1006,Гвинеја
Гвинеја Бисао,,,,,,Q1007,Гвинеја Бисао
Гибралтар,,,,,,Q1410,Гибралтар
Гренада,,,,,,Q769,Гренада
Гренланд,,,,,,Q223,Гренланд
Грузија,,,,,,Q230,Грузија
