name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abchazien,,,,,,Q23334,Abchazien
Afghanistan,004,AF,AFG,AFG,AFG,Q889,Afghanistan
Akrotiri och Dhekelia,,,,,,Q37362,Akrotiri och Dhekelia
Albanien,,,,,,Q222,Albanien
Algeriet,,,,,,Q262,Algeriet
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua och Barbuda,,,,,,Q781,Antigua och Barbuda
Argentina,,,,,,Q414,Argentina
Armenien,,,,,,Q399,Armenien
Aruba,,,,,,Q21203,Aruba
Australien,,,,,,Q408,Australien
Azerbajdzjan,,,,,,Q227,Azerbajdzjan
Bahrain,,,,,,Q398,Bahrain
Bangladesh,,,,,,Q902,Bangladesh
Barbados,,,,,,Q244,Barbados
Belarus,,,,,,Q184,Belarus
Belgien,,,,,,Q31,Belgien
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Bolivia,,,,,,Q750,Bolivia
Bonaire,,,,,,Q25396,Bonaire
Bosnien och Hercegovina,,,,,,Q225,Bosnien och Hercegovina
Botswana,,,,,,Q963,Botswana
Brasilien,,,,,,Q155,Brasilien
Brittiska Jungfruöarna,,,,,,Q25305,Brittiska Jungfruöarna
Brittiska territoriet i Indiska oceanen,,,,,,Q43448,Brittiska territoriet i Indiska oceanen
Brunei,,,,,,Q921,Brunei
Bulgarien,,,,,,Q219,Bulgarien
