name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abhazya,,,,,,Q23334,Abhazya
Afganistan,004,AF,AFG,AFG,AFG,Q889,Afganistan
Almanya,,,,,,Q183,Almanya
Andorra,,,,,,Q228,Andorra
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua ve Barbuda,,,,,,Q781,Antigua ve Barbuda
Arjantin,,,,,,Q414,Arjantin
Arnavutluk,,,,,,Q222,Arnavutluk
Aruba,,,,,,Q21203,Aruba
Avustralya,,,,,,Q408,Avustralya
Avusturya,040,AT,AUT,AUT,AUT,Q40,Avusturya
Azerbaycan,,,,,,Q227,Azerbaycan
Ağrotur ve Dikelya,,,,,,Q37362,Ağrotur ve Dikelya
Bahamalar,,,,,,Q778,Bahamalar
Bahreyn,,,,,,Q398,Bahreyn
Bangladeş,,,,,,Q902,Bangladeş
Barbados,,,,,,Q244,Barbados
Belarus,,,,,,Q184,Belarus
Belize,,,,,,Q242,Belize
Belçika,,,,,,Q31,Belçika
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhutan,,,,,,Q917,Bhutan
Bolivya,,,,,,Q750,Bolivya
Bonaire,,,,,,Q25396,Bonaire
Bosna-Hersek,,,,,,Q225,Bosna-Hersek
Botsvana,,,,,,Q963,Botsvana
Brezilya,,,,,,Q155,Brezilya
Britanya Hint Okyanusu Toprakları,,,,,,Q43448,Britanya Hint Okyanusu Toprakları
Britanya Virjin Adaları,,,,,,Q25305,Britanya Virjin Adaları
Brunei,,,,,,Q921,Brunei
Bulgaristan,,,,,,Q219,Bulgaristan
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Cayman Adaları,,,,,,Q5785,Cayman Adaları
Cebelitarık,,,,,,Q1410,Cebelitarık
Cezayir,,,,,,Q262,Cezayir
Christmas Adası,,,,,,Q31063,Christmas Adası
Cibuti,,,,,,Q977,Cibuti
Clipperton Adası,,,,,,Q161258,Clipperton Adası
Cocos Adaları,,,,,,Q36004,Cocos Adaları
Curaçao,,,,,,Q25279,Curaçao
Danimarka,,,,,,Q35,Danimarka
Dağlık Karabağ Cumhuriyeti,,,,,,Q244165,Dağlık Karabağ Cumhuriyeti
Dominik Cumhuriyeti,,,,,,Q786,Dominik Cumhuriyeti
Dominika,,,,,,Q784,Dominika
Doğu Timor,,,,,,Q574,Doğu Timor
Ekvador,,,,,,Q736,Ekvador
Ekvator Ginesi,,,,,,Q983,Ekvator Ginesi
El Salvador,,,,,,Q792,El Salvador
Endonezya,,,,,,Q252,Endonezya
Eritre,,,,,,Q986,Eritre
Ermenistan,,,,,,Q399,Ermenistan
Estonya,,,,,,Q191,Estonya
Esvatini,,,,,,Q1050,Esvatini
Etiyopya,,,,,,Q115,Etiyopya
Falkland Adaları,,,,,,Q9648,Falkland Adaları
Faroe Adaları,,,,,,Q4628,Faroe Adaları
Fas,,,,,,Q1028,Fas
Fiji,,,,,,Q712,Fiji
Fildişi Sahili,,,,,,Q1008,Fildişi Sahili
Filipinler,,,,,,Q928,Filipinler
Filistin Devleti,,,,,,Q219060,Filistin Devleti
Finlandiya,,,,,,Q33,Finlandiya
Fransa,,,,,,Q142,Fransa
Fransız Guyanası,,,,,,Q3769,Fransız Guyanası
Gabon,,,,,,Q1000,Gabon
Gambiya,,,,,,Q1005,Gambiya
Gana,,,,,,Q117,Gana
Gine,,,,,,Q1006,Gine
Gine-Bissau,,,,,,Q1007,Gine-Bissau
Grenada,,,,,,Q769,Grenada
Grönland,,,,,,Q223,Grönland
Guadeloupe,,,,,,Q17012,Guadeloupe
Guatemala,,,,,,Q774,Guatemala
Guyana,,,,,,Q734,Guyana
Güney Afrika Cumhuriyeti,,,,,,Q258,Güney Afrika Cumhuriyeti
Güney Georgia ve Güney Sandwich Adaları,,,,,,Q35086,Güney Georgia ve Güney Sandwich Adaları
Güney Kore,,,,,,Q884,Güney Kore
Güney Osetya,,,,,,Q23427,Güney Osetya
Güney Sudan,,,,,,Q958,Güney Sudan
Gürcistan,,,,,,Q230,Gürcistan
Haiti,,,,,,Q790,Haiti
Hindistan,,,,,,Q668,Hindistan
Hollanda,,,,,,Q55,Hollanda
Honduras,,,,,,Q783,Honduras
Hong Kong,,,,,,Q8646,Hong Kong
Hırvatistan,,,,,,Q224,Hırvatistan
Irak,,,,,,Q796,Irak
