name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Fici,,,,,,Q712,Fici
Haiti,,,,,,Q790,Haiti
Абхазия,,,,,,Q23334,Абхазия
Австралия,,,,,,Q408,Австралия
Австрия,040,AT,AUT,AUT,AUT,Q40,Австрия
Акротири һәм Декелия,,,,,,Q37362,Акротири һәм Декелия
Албания,,,,,,Q222,Албания
Алмания,,,,,,Q183,Алмания
Америка Виргин утраулары,,,,,,Q11703,Америка Виргин утраулары
Америка Кушма Штатлары,,,,,,Q30,Америка Кушма Штатлары
Ангилья,,,,,,Q25228,Ангилья
Англия,,,,,,Q21,Англия
Ангола,,,,,,Q916,Ангола
Андорра,,,,,,Q228,Андорра
Антигуа һәм Барбуда,,,,,,Q781,Антигуа һәм Барбуда
Аргентина,,,,,,Q414,Аргентина
Аруба,,,,,,Q21203,Аруба
Багамалар,,,,,,Q778,Багамалар
Бангладеш,,,,,,Q902,Бангладеш
Барбадос,,,,,,Q244,Барбадос
Беларусия,,,,,,Q184,Беларусия
Белиз,,,,,,Q242,Белиз
Бельгия,,,,,,Q31,Бельгия
Бенин,,,,,,Q962,Бенин
Берләшкән Гарәп Әмирлекләре,,,,,,Q878,Берләшкән Гарәп Әмирлекләре
Бермуда утраулары,,,,,,Q23635,Бермуда утраулары
Болгария,,,,,,Q219,Болгария
Боливия,,,,,,Q750,Боливия
Босния һәм Герцеговина,,,,,,Q225,Босния һәм Герцеговина
Ботсвана,,,,,,Q963,Ботсвана
Бразилия,,,,,,Q155,Бразилия
Британия Виргин Утраулары,,,,,,Q25305,Британия Виргин Утраулары
Бруней,,,,,,Q921,Бруней
Буркина Фасо,,,,,,Q965,Буркина Фасо
Бурунди,,,,,,Q967,Бурунди
Бутан,,,,,,Q917,Бутан
Бәхрәйн,,,,,,Q398,Бәхрәйн
Бөекбритания,,,,,,Q145,Бөекбритания
Габон,,,,,,Q1000,Габон
Гайана,,,,,,Q734,Гайана
Гамбия,,,,,,Q1005,Гамбия
Гана,,,,,,Q117,Гана
Гваделупа,,,,,,Q17012,Гваделупа
Гватемала,,,,,,Q774,Гватемала
Гвинея,,,,,,Q1006,Гвинея
Гвинея-Бисау,,,,,,Q1007,Гвинея-Бисау
Гибралтар,,,,,,Q1410,Гибралтар
Гренада,,,,,,Q769,Гренада
Греция,,,,,,Q41,Греция
Гыйрак,,,,,,Q796,Гыйрак
Гөрҗистан,,,,,,Q230,Гөрҗистан
Дания,,,,,,Q35,Дания
Днестр буе Молдавия Республикасы,,,,,,Q907112,Днестр буе Молдавия Республикасы
Доминика,,,,,,Q784,Доминика
Доминикан Җөмһүрияте,,,,,,Q786,Доминикан Җөмһүрияте
Индонезия,,,,,,Q252,Индонезия
Иран,,,,,,Q794,Иран
Ирландия,,,,,,Q27,Ирландия
Исландия,,,,,,Q189,Исландия
Испания,,,,,,Q29,Испания
Исраил,,,,,,Q801,Исраил
Италия,,,,,,Q38,Италия
Кабо-Верде,,,,,,Q1011,Кабо-Верде
Казакъстан,,,,,,Q232,Казакъстан
Кайман утраулары,,,,,,Q5785,Кайман утраулары
Камбоджа,,,,,,Q424,Камбоджа
Камерун,,,,,,Q1009,Камерун
Канада,,,,,,Q16,Канада
Катар,,,,,,Q846,Катар
Кения,,,,,,Q114,Кения
Кипр Республикасы,,,,,,Q229,Кипр Республикасы
Кирибати,,,,,,Q710,Кирибати
Колумбия,,,,,,Q739,Колумбия
Коморлар,,,,,,Q970,Коморлар
Конго Демократик Республикасы,,,,,,Q974,Конго Демократик Республикасы
