name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q126125,Saint Martin
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
不丹,,,,,,Q917,不丹
东帝汶,,,,,,Q574,东帝汶
中华人民共和国,,,,,,Q148,中华人民共和国
中非共和國,,,,,,Q929,中非共和國
丹麦,,,,,,Q35,丹麦
乍得,,,,,,Q657,乍得
亞克羅提利與德凱利亞,,,,,,Q37362,亞克羅提利與德凱利亞
亞美尼亞,,,,,,Q399,亞美尼亞
以色列,,,,,,Q801,以色列
伊拉克,,,,,,Q796,伊拉克
伊朗,,,,,,Q794,伊朗
伯利兹,,,,,,Q242,伯利兹
佛得角,,,,,,Q1011,佛得角
俄罗斯,,,,,,Q159,俄罗斯
保加利亚,,,,,,Q219,保加利亚
克利珀頓島,,,,,,Q161258,克利珀頓島
克罗地亚,,,,,,Q224,克罗地亚
冰岛,,,,,,Q189,冰岛
几内亚,,,,,,Q1006,几内亚
列支敦斯登,,,,,,Q347,列支敦斯登
刚果共和国,,,,,,Q971,刚果共和国
刚果民主共和国,,,,,,Q974,刚果民主共和国
利比亚,,,,,,Q1016,利比亚
利比里亚,,,,,,Q1014,利比里亚
加拿大,,,,,,Q16,加拿大
加纳,,,,,,Q117,加纳
加蓬,,,,,,Q1000,加蓬
匈牙利,,,,,,Q28,匈牙利
北爱尔兰,,,,,,Q26,北爱尔兰
北賽普勒斯,,,,,,Q23681,北賽普勒斯
北馬其頓,,,,,,Q221,北馬其頓
博奈尔,,,,,,Q25396,博奈尔
卡塔尔,,,,,,Q846,卡塔尔
卢旺达,,,,,,Q1037,卢旺达
卢森堡,,,,,,Q32,卢森堡
印度,,,,,,Q668,印度
印度尼西亚,,,,,,Q252,印度尼西亚
危地马拉,,,,,,Q774,危地马拉
厄瓜多尔,,,,,,Q736,厄瓜多尔
厄立特里亚,,,,,,Q986,厄立特里亚
古巴,,,,,,Q241,古巴
史瓦帝尼,,,,,,Q1050,史瓦帝尼
吉尔吉斯斯坦,,,,,,Q813,吉尔吉斯斯坦
吉布提,,,,,,Q977,吉布提
哈萨克斯坦,,,,,,Q232,哈萨克斯坦
哥伦比亚,,,,,,Q739,哥伦比亚
哥斯达黎加,,,,,,Q800,哥斯达黎加
喀麦隆,,,,,,Q1009,喀麦隆
圣卢西亚,,,,,,Q760,圣卢西亚
圣文森特和格林纳丁斯,,,,,,Q757,圣文森特和格林纳丁斯
圣皮埃尔和密克隆,,,,,,Q34617,圣皮埃尔和密克隆
圣诞岛,,,,,,Q31063,圣诞岛
圣马力诺,,,,,,Q238,圣马力诺
圭亚那,,,,,,Q734,圭亚那
埃及,,,,,,Q79,埃及
埃塞俄比亚,,,,,,Q115,埃塞俄比亚
基里巴斯,,,,,,Q710,基里巴斯
塞内加尔,,,,,,Q1041,塞内加尔
塞尔维亚,,,,,,Q403,塞尔维亚
墨西哥,,,,,,Q96,墨西哥
多明尼加,,,,,,Q786,多明尼加
多米尼克,,,,,,Q784,多米尼克
奈及利亞,,,,,,Q1033,奈及利亞
奥地利,040,AT,AUT,AUT,AUT,Q40,奥地利
孟加拉国,,,,,,Q902,孟加拉国
安哥拉,,,,,,Q916,安哥拉
安圭拉,,,,,,Q25228,安圭拉
安提瓜和巴布达,,,,,,Q781,安提瓜和巴布达
安道尔,,,,,,Q228,安道尔
密克罗尼西亚联邦,,,,,,Q702,密克罗尼西亚联邦
尼加拉瓜,,,,,,Q811,尼加拉瓜
尼日尔,,,,,,Q1032,尼日尔
尼泊尔,,,,,,Q837,尼泊尔
巴基斯坦,,,,,,Q843,巴基斯坦
巴巴多斯,,,,,,Q244,巴巴多斯
巴布亚新几内亚,,,,,,Q691,巴布亚新几内亚
巴拉圭,,,,,,Q733,巴拉圭
巴拿马,,,,,,Q804,巴拿马
巴林,,,,,,Q398,巴林
巴西,,,,,,Q155,巴西
布吉納法索,,,,,,Q965,布吉納法索
希腊,,,,,,Q41,希腊
帛琉,,,,,,Q695,帛琉
幾內亞比索,,,,,,Q1007,幾內亞比索
库拉索,,,,,,Q25279,库拉索
德国,,,,,,Q183,德国
意大利,,,,,,Q38,意大利
拉脫維亞,,,,,,Q211,拉脫維亞
挪威,,,,,,Q20,挪威
捷克,,,,,,Q213,捷克
摩尔多瓦,,,,,,Q217,摩尔多瓦
摩洛哥,,,,,,Q1028,摩洛哥
摩纳哥,,,,,,Q235,摩纳哥
撒拉威阿拉伯民主共和國,,,,,,Q40362,撒拉威阿拉伯民主共和國
斐濟,,,,,,Q712,斐濟
新西兰,,,,,,Q664,新西兰
日本,,,,,,Q17,日本
智利,,,,,,Q298,智利
曼島,,,,,,Q9676,曼島
朝鲜民主主义人民共和国,,,,,,Q423,朝鲜民主主义人民共和国
柬埔寨,,,,,,Q424,柬埔寨
根西,,,,,,Q3311985,根西
格林纳达,,,,,,Q769,格林纳达
格陵兰,,,,,,Q223,格陵兰
格鲁吉亚,,,,,,Q230,格鲁吉亚
比利时,,,,,,Q31,比利时
毛里塔尼亚,,,,,,Q1025,毛里塔尼亚
毛里求斯,,,,,,Q1027,毛里求斯
汶莱,,,,,,Q921,汶莱
沙特阿拉伯,,,,,,Q851,沙特阿拉伯
法国,,,,,,Q142,法国
法屬圭亞那,,,,,,Q3769,法屬圭亞那
法罗群岛,,,,,,Q4628,法罗群岛
波兰,,,,,,Q36,波兰
波多黎各,,,,,,Q1183,波多黎各
波斯尼亚和黑塞哥维那,,,,,,Q225,波斯尼亚和黑塞哥维那
波札那,,,,,,Q963,波札那
洪都拉斯,,,,,,Q783,洪都拉斯
海地,,,,,,Q790,海地
澤西,,,,,,Q785,澤西
澳大利亚,,,,,,Q408,澳大利亚
澳門,,,,,,Q14773,澳門
爱尔兰,,,,,,Q27,爱尔兰
爱沙尼亚,,,,,,Q191,爱沙尼亚
牙买加,,,,,,Q766,牙买加
玻利維亞,,,,,,Q750,玻利維亞
瓜德罗普,,,,,,Q17012,瓜德罗普
白俄罗斯,,,,,,Q184,白俄罗斯
百慕大,,,,,,Q23635,百慕大
直布罗陀,,,,,,Q1410,直布罗陀
福克兰群岛,,,,,,Q9648,福克兰群岛
科威特,,,,,,Q817,科威特
科特迪瓦,,,,,,Q1008,科特迪瓦
科科斯（基林）群島,,,,,,Q36004,科科斯（基林）群島
科索沃,,,,,,Q1246,科索沃
秘鲁,,,,,,Q419,秘鲁
立陶宛,,,,,,Q37,立陶宛
納弗沙島,,,,,,Q25359,納弗沙島
约旦,,,,,,Q810,约旦
纳米比亚,,,,,,Q1030,纳米比亚
缅甸,,,,,,Q836,缅甸
羅馬尼亞,,,,,,Q218,羅馬尼亞
老挝,,,,,,Q819,老挝
聖克里斯多福及尼維斯,,,,,,Q763,聖克里斯多福及尼維斯
聖巴泰勒米,,,,,,Q25362,聖巴泰勒米
肯尼亚,,,,,,Q114,肯尼亚
芬兰,,,,,,Q33,芬兰
英屬印度洋領地,,,,,,Q43448,英屬印度洋領地
英屬維爾京群島,,,,,,Q25305,英屬維爾京群島
英格兰,,,,,,Q21,英格兰
荷兰,,,,,,Q55,荷兰
莫桑比克,,,,,,Q1029,莫桑比克
莱索托,,,,,,Q1013,莱索托
菲律宾,,,,,,Q928,菲律宾
萨尔瓦多,,,,,,Q792,萨尔瓦多
萨摩亚,,,,,,Q683,萨摩亚
葛摩,,,,,,Q970,葛摩
葡萄牙,,,,,,Q45,葡萄牙
蒙古国,,,,,,Q711,蒙古国
蒙特內哥羅,,,,,,Q236,蒙特內哥羅
蒙特塞拉特,,,,,,Q13353,蒙特塞拉特
蒲隆地,,,,,,Q967,蒲隆地
薩巴,,,,,,Q25528,薩巴
蘇格蘭,,,,,,Q22,蘇格蘭
諾魯,,,,,,Q697,諾魯
賽普勒斯,,,,,,Q229,賽普勒斯
贝宁,,,,,,Q962,贝宁
赤道几内亚,,,,,,Q983,赤道几内亚
開曼群島,,,,,,Q5785,開曼群島
阿塞拜疆,,,,,,Q227,阿塞拜疆
