snooker_id,title
701,UK Seniors
702,Seniors Irish Masters
703,World Seniors
704,Assetereum Seniors Masters
705,Romanian Masters
706,Kaspersky Riga Masters Qualifiers
707,Kaspersky Riga Masters
708,HongRuiMa Yushan World Open
709,Shanghai Masters
710,HongRuiMa Yushan World Open Qualifiers
711,BetVictor English Open
712,BetVictor Northern Ireland Open
713,BetVictor Scottish Open
714,Womens British Open
722,Paul Hunter Classic
723,SangSom 6 Red World Championship
724,Indian Open
725,EverGrande China Championship
726,D88.com European Masters
727,OPPO International Championship
728,ManBetX Champion of Champions
729,Betway UK Championship
730,German Masters Qualifiers
731,OPPO International Championship Qualifiers
732,European Masters Qualifiers
733,China Championship Qualifiers
734,Indian Open Qualifiers
735,EBSA Play Off
736,Q School 1
737,Q School 2
738,Q School 3
739,Women's 6 Red World Championship 
740,Women's 10 Red World Championship 
741,LITEtask Women's 10 Red World Championship
742,Betfred World Championship
743,Betfred World Championship Qualifiers
744,Coral  Players Championship
745,Coral World Grand Prix
746,Dafabet Masters
747,BetVictor Shoot-Out
748,XingPai China Open
749,China Open Qualifiers
750,Coral  Tour Championship
751,Challenge Tour 1
752,Challenge Tour 2
753,Challenge Tour 3
754,Challenge Tour 4
755,Challenge Tour 5
756,Challenge Tour 6
757,Challenge Tour 7
758,Challenge Tour 10
759,LITEtask Women's 6 Red World Championship
760,Women's World Championship 
761,LITEtask  UK Women's Championship
762,Eden Women's Masters
763,Women's 10-Red
764,Women's 6-Red
765,D88.Com German Masters
766,ManBetX Welsh Open
767,Betway Gibraltar Open
768,Championship League - Group 1
769,Championship League - Winners' Group
770,Championship League - Group 2
771,Championship League - Group 3
772,Championship League - Group 4
773,Championship League - Group 5
774,Championship League - Group 6
775,Championship League - Group 7
777,Credit Risk Solutions UK Seniors Championship
778,Insuremyvan.ie Seniors Irish Masters
779,ROKiT World Seniors 6 Red Championship
780,ROKiT World Seniors Championship
781,Seniors Masters
788,Australian Women's Snooker Open
789,European Women's Masters
790,Challenge Tour 8
799,Challenge Tour 9
