snooker_id,full_name
101,Luca Brecel
102,Kuldesh Johal
104,Adam Stefanow
106,Jamie Clarke
108,Aditya Mehta
109,Sam Craigie
111,David Craggs
112,Stephen Craigie
115,Anthony Hamilton
118,David B Gilbert
119,Simon Bedford
120,Martin O'Donnell
123,Lee Chun Wai Andy
124,Michael Wild
125,Michael Holt
128,Stuart Carrington
131,Craig Steadman
133,Chen Zhe
136,Richard Somauroo
138,Jake Nicholson
139,Jack Culligan
146,Oliver Brown
147,James Silverwood
148,Jordan Rimmer
151,James Cahill
152,Jamie Brown
153,Stephen Hendry
154,Neil Robertson
156,Alex Taubman
158,Allister Carter
159,Callum Downing
160,Callum Lloyd
163,Farakh Ajaib
165,Jamie Curtis-Barrett
168,Joe Perry
170,Ken Doherty
171,Michael White
174,Raymond Fry
175,Reanne Evans
177,Rod Lawler
181,Tony Knowles
182,William Thomson
186,Antony Parsons
191,Hans Blanckaert
193,James Wattana
198,Lee Shanker
