full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Bernard Bennett,England,1931-08-31,3700,bernard-bennett,,
Mike Darrington,England,1931-09-13,3756,mike-darrington,,
Pascal Burke,Ireland,1932-06-19,3707,pascal-burke,,
Ray Reardon,Wales,1932-10-08,2875,ray-reardon,,
Rex Williams,England,1933-07-20,3515,,,
Cliff Wilson,Wales,1934-05-10,3467,,,
John Spencer,England,1935-10-18,2876,,,
Mark Wildman,England,1936-01-25,3701,mark-wildman,,
Ray Edmonds,England,1936-04-25,3491,,,
Dennis Hughes,England,1937-01-30,3704,dennis-hughes,,
Eddie Sinclair,Scotland,1937-05-05,3703,eddie-sinclair,,
Eric Lawlor,England,1937-07-01,3492,,,
Clive Everton,Wales,1937-09-07,3748,,,
Roy Andrewartha,Wales,1938-04-23,3731,roy-andrewartha,,
Michael Ferreira,India,1938-10-01,3448,michael-ferreira,,
