full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Aaron Lowe,England,,2016,aaron-lowe,,
Aaron Moyles,Ireland,,1856,aaron-moyles,,
Abdelrahman Abdelhamid,Egypt,,1843,abdelrahman-abdelhamid,,
Abdelrahman Shahin,Egypt,,1897,abdelrahman-shahin,,
Adam Chalkley,England,,1747,adam-chalkley,,
Adam Fitzgerald,Ireland,,1857,adam-fitzgerald,,
Alan Trigg,Ukraine,,1929,alan-trigg,,
Ales Herout,Czech Republic,,1842,ales-herout,,
Alexander van den Doel,Netherlands,,1942,alexander-van-den-doel,,
Alexandru Statache,Romania,,1869,alexandru-statache,,
Alkinoos Triantos,Cyprus,,1971,alkinoos-triantos,,
Amaury Brasil Rocha Filho,Brazil,,1841,amaury-rocha-filho,,
Amedeo Durnez,Belgium,,1838,amedeo-durnez,,
Amir Nardeia,Israel,,1859,amir-nardeia,,
Anastasija Singurindi,Russia,,1826,anastasija-singurindi,,
Anastasis Ioannou,Cyprus,,1968,anastasis-ioannou,,
Anastasiya Trunina,Belarus,,1817,anastasiya-trunina,,
Andrei Orzan,Romania,,1867,andrei-orzan,,
Andrej Burdel,Slovakia,,1945,andrej-burdel,,
Andreij Nasibov,Sweden,,1888,andrej-nasibov,,
Andrew Urbaniak,England,,1800,andrew-urbaniak,,
Andrii Buchynskyi,Ukraine,,2007,andrii-buchynskyi,,
Andrzej Pakula,Poland,,2031,andrzej-pakula,,
Andy Maivel,England,,2029,andy-maivel,,
Anna Prisjažnuka,Latvia,,1799,anna-prisjaznuka,,
Anthony Bonnar,Ireland,,2026,anthony-bonnar,,
Anthony Green,England,,2033,anthony-green,,
Antonis Poullos,Cyprus,,1798,antonis-poullos,,
Arpat Pulat,Sweden,,1730,arpat-pulat,,
Arsalan Tahvildari,Iran,,1853,arsalan-tahvildari,,
Arsen Balishyan,Russia,,1808,arsen-balishyan,,
Arthur Lin,Australia,,1831,arthur-lin,,
Arturs Klindzans,Latvia,,1814,arturs-klindzans,,
Avinash Kumar,India,,1894,avinash-kumar,,
