full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Baghi Ebrahim,Austria,,626,baghi-ebrahim,,
Bahador Rahimi,United States,,4495,bahador-rahimi,,
Baljeet Singh,New Zealand,,4420,baljeet-singh,,
Balvinder Sembi,England,,1645,balvinder-sembi,,
Barry Bramhall,England,,3858,barry-bramhall,,
Barry Campbell,Scotland,,1184,barry-campbell,,
Barry West,England,,502,barry-west,,
Bart De Mooter,Belgium,,842,bart-de-mooter,,
Bart Noeth,Belgium,,852,bart-noeth,,
Bart Van Der Haegen,Belgium,,866,bart-van-der-haegen,,
Bartlomiej Jakobczak,Poland,,1663,bartlomiej-jakobczak,,
Bartlomiej Orzechowski,Poland,,699,bartlomiej-orzechowski,,
Bartosz Olchowka,Poland,,1688,bartosz-olchowka,,
Bartosz Oldakowski,Poland,,1671,bartosz-oldakowski,,
Bas Herberigs,Netherlands,,1291,bas-herberigs,,
Bas Verviers,Netherlands,,1275,bas-verviers,,
Bayden Dewey,Australia,,4278,bayden-dewey,,
Bekim Aliu,Albania,,3859,bekim-aliu,,
Ben Du Bois,Ireland,,4652,ben-du-bois,,
Ben Farnworth,Australia,,3930,ben-farnworth,,
Ben Foster,Australia,,4233,ben-foster,,
Ben Harrison,England,,40,ben-harrison,,
Ben Nunan,Australia,,975,ben-nunan,,
Ben Robinson,England,,2036,ben-robinson,,
Ben Tanner,England,,1757,ben-tanner,,
Ben Wall,England,,4619,ben-wall,,
Benjamin Buser,Austria,,1021,benjamin-buser,,
Benjamin Finch,England,,1124,benjamin-finch,,
Benjamin Frömmel,Germany,,446,benjamin-frommel,,
Benjamin Tokaca,Bosnia and Herzegovina,,4057,benjamin-tokaca,,
Benji Buckley,England,,1276,benji-buckley,,
Benny O'Brien,Ireland,,786,benny-obrien,,
Bensalem Benmassoud,Morocco,,4607,bensalem-benmassoud,,
Bernd Friedrich,Germany,,247,bernd-friedrich,,
Bero Cerinski,Croatia,,1028,bero-cerinski,,
Bert Van Tiggelen,Belgium,,372,bert-van-tiggelin,,
Besjan Sinanaj,Albania,,3861,besjan-sinanaj,,
Bill Earle,New Zealand,,3648,bill-earle,,
Bill Oliver,England,,504,bill-oliver,,
Billy Brown,Northern Ireland,,889,billy-brown,,
Billy Parr,England,,903,billy-parr,,
Billy Snaddon,Scotland,,714,billy-snaddon,,
Bismiullah Alizada,Australia,,3931,bismiullah-alizada,,
Bjørn Gulbrandsen,Norway,,2020,bjorn-gulbrandsen,,
Blane Watson,New Zealand,,3649,blane-watson,,
Bledar Koci,Albania,,3862,bledar-koci,,
Bo Jarlstrom,Denmark,,4677,bo-jarlstrom,,
Bo Junjie,China,,1597,bo-junjie,,
Bobby Cruickshanks,Scotland,,544,bobby-cruickshanks,,
Bolorchuluun Bayarjargal,Mongolia,,3863,bolorchuluun-bayarjargal,,
Bolorkhuu Erdene,Mongolia,,3864,bolorkhuu-erdene,,
Ang Boon Chin,Singapore,,1759,boon-chin-ang,,
Brad Chappell,England,,1735,brad-chappell,,
Brandon Winstone,England,,896,brandon-winstone,,
Brent Kolbeck,Canada,,541,brent-kolbeck,,
Brett Guthenberg,Australia,,3932,brett-guthenberg,,
Brett Miller,England,,1729,brett-miller,,
Brian Beekers,Netherlands,,869,brian-beekers,,
Brian Bruce,Australia,,4295,brian-bruce,,
Brian Cox,England,,595,brian-cox,,
Brian Howell,Australia,,4279,brian-howell,,
Brian Milne,Northern Ireland,,789,brian-milne,,
Brian Morgan,England,,657,brian-morgan,,
Brian Piper,United States,,4017,brian-piper,,
Brian Robertson,England,,614,brian-robertson,,
Brijesh Damani,India,,517,brijesh-damani,,
Bruce Kay,New Zealand,,3650,bruce-kay,,
Bruno Cottenies,Belgium,,882,bruno-cottenies,,
Bruno Menegotto,Belgium,,1073,bruno-menegotto,,
Brynjar Valdimarsson,Iceland,,1023,bryngmar-valdimarsson,,
Bulent Fazliu,Albania,,3866,bulent-fazliu,,
Buyantugs Purev,Mongolia,,3867,buyantugs-purev,,
