full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Marcin Nitschke,Poland,-262144-01-01,88,,,
Yahya Seedat,Turkey,-262144-01-01,183,,,
Laurin Winters,Netherlands,-262144-01-01,294,,,
TBD  ,Unknown,-262144-01-01,376,,,
Joao Grilo,Portugal,-262144-01-01,1632,,,
,,-262144-01-01,664,,,
,,-262144-01-01,1608,,,
,,-262144-01-01,1047,,,
Alexandru Statache,Romania,-262144-01-01,1869,,,
Rui Santos,Portugal,-262144-01-01,1631,,,
Ryan Cronin,Ireland,-262144-01-01,770,,,
Tian Jiaqi,China,-262144-01-01,1151,,,
Glenn Van Hulle,Belgium,-262144-01-01,1088,,,
Adam Osbourne,England,-262144-01-01,489,,,
Tim De Ruyter,Netherlands,-262144-01-01,1861,,,
Cedric Daniels,Belgium,-262144-01-01,1061,,,
Stephen Winstone,England,-262144-01-01,900,,,
Bobby Cruickshanks,Scotland,-262144-01-01,544,,,
Ray Grall,England,-262144-01-01,1203,,,
Michael Seidel,Germany,-262144-01-01,311,,,
Michael Deutschmann,Germany,-262144-01-01,1617,,,
