full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Lyu Chenwei,China,1991-01-16,510,,,
Farakh Ajaib,Pakistan,1991-02-03,163,,,
Anthony McGill,Scotland,1991-02-05,22,,,
James Silverwood,England,1991-04-30,147,,,
Sam Thistlewhite,England,1991-05-14,80,,,
Damian Wilks,England,1991-05-14,142,,,
Jack Lisowski,England,1991-06-25,85,,,
Jack Bradford,Wales,1991-07-30,613,,,
Aaron Busuttil,Malta,1991-09-05,1018,,,
Zak Surety,England,1991-10-04,89,,,
Mitchell Travis,England,1991-12-08,132,,,
Kyren Wilson,England,1991-12-23,39,,,
Zhang Anda,China,1991-12-25,81,,,
Mitchell Mann,England,1991-12-26,49,,,
