full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Cai Jianzhong,China,,665,cai-jianzhong,,
Cai Peng,China,,1531,cai-peng,,
Cao Kaisheng,China,,513,cao-kaisheng,,
Carl Gibson,England,,1435,carl-gibson,,
Carl Rosenberger,Germany,,1034,carl-rosenberger,,
Carlos Alberto Martins Carvalho,Brazil,,4236,carlos-alberto-martins-carvalho,,
Cedric Daniels,Belgium,,1061,cedric-daniels,,
Chan Ka Kin,Hong Kong,,942,chan-ka-kin,,
Chan Wai Kei,Hong Kong,,1385,chan-wai-ki,,
Chan Wai Lam,Hong Kong,,4147,chan-wai-lam,,
Chaouki Yousfi,Morocco,,1347,chaouki-yousfi,,
Chai Zeet Huey Charlene,Singapore,,2148,charlene-chai,,
Charles Crouch,United States,,3818,charles-crouch,,
Charlie Brown,Canada,,3815,charlie-brown,,
Charlie Shaw,England,,4002,charlie-shaw,,
Charlie Sweeney,Ireland,,1905,charlie-sweeney,,
Charon Parker,England,,1002,charon-parker,,
Chema Cortes,Spain,,4477,chema-cortes,,
Chen Bo,China,,935,chen-bo,,
Chen Junhao,China,,1372,chen-junhao,,
Chen Ruifu,China,,959,chen-ruifu,,
Chen Wen,China,,1299,chen-wen,,
Chen Xu,China,,1529,chen-xu,,
Chen Yaochen,China,,1609,chen-yaochen,,
Chen Yelong,China,,1483,chen-yelong,,
Chen Zhihui,China,,1371,chen-zhihui,,
Cheng Feng,China,,1236,cheng-feng,,
Cheng Sihong,China,,1476,cheng-sihong,,
Cheukyin Kwan,Canada,,3816,cheukyin-kwan,,
Chi Voong,Sweden,,4101,chi-voong,,
Chris Bryant,England,,1583,chris-bryant,,
Chris Dagnall,Isle of Man,,4070,chris-dagnall,,
Chris Dietrich,Australia,,3935,chris-dietrich,,
Chris Hannigan,Ireland,,788,chris-hannigan,,
Chris Hart,England,,4003,chris-hart,,
Christopher Henry,England,,249,chris-henry,,
Chris Herbert,Australia,,4269,chris-herbert,,
Chris Jones,England,,1563,chris-jones,,
Chris Kilcoyne,Ireland,,1738,chris-kilcoyne,,
Chris Lloyd,Wales,,1909,chris-lloyd,,
Chris Maesschalck,Belgium,,812,chris-maesschalck,,
Chris Mason,Gibraltar,,1806,chris-mason,,
Chris McBreen,New Zealand,,250,chris-mcbreen,,
Chris Peplow,Malta,,1860,chris-peplow,,
Christiaan Corten,Belgium,,1078,christiaan-corten,,
Christian Gabriel,Germany,,1400,christian-gabriel,,
Christian Gnamm,Germany,,252,christian-gnamm,,
Christian Hauburg,Germany,,253,christian-hauburg,,
Christian Ozim,Germany,,646,christian-ozim,,
Christian Pesch,Germany,,630,christian-pesch,,
Christian Rauscher,Germany,,1334,christian-rauscher,,
Christian Walther,Germany,,254,christian-walther,,
Christof Biniarsch,Germany,,255,christof-biniarsch,,
Christopher Flight,England,,479,christopher-flight,,
Christopher Frömmel,Germany,,445,christopher-frommel,,
Christopher Giffney,Scotland,,1175,christopher-giffney,,
Christopher Harrison,England,,1455,christopher-harrison,,
Christopher Maye,Northern Ireland,,2035,christopher-maye,,
Christopher Watts,Norway,,1295,christopher-watts,,
Christopher Williams,New Zealand,,3651,christopher-williams,,
Chui Ho Man Jamie,Hong Kong,,1429,chui-homan,,
Clark Lillyman,England,,660,clark-lillyman,,
Claudia Weber,Switzerland,,2107,claudia-weber,,
Claudio Mercurio,Belgium,,849,claudio-mercurio,,
Clement Chen,Australia,,4558,clement-chen,,
Cliff Castelein,Belgium,,808,cliff-castelein,,
Clinton Franey,Ireland,,763,clinton-franey,,
Clive A Bernstone,England,,1998,clive-bernstone,,
Coen Fool,Netherlands,,256,coen-fool,,
Colin Kelly,England,,3453,colin-kelly,,
Colm Gilcreest,Ireland,,414,colm-gilcreest,,
Connell Doherty,Ireland,,791,connell-doherty,,
Conor Kelly,Northern Ireland,,4118,conor-kelly,,
Conor Walsh,England,,4490,conor-walsh,,
Cooper Thomson,Australia,,3936,cooper-thomson,,
Corien Simpson,New Zealand,,3652,corien-simpson,,
Cosmin Arsene,Romania,,4092,cosmin-arsene,,
Cosmin Billa,Romania,,1875,cosmin-bila,,
Cosmin Constantin,Romania,,1128,cosmin-constantin,,
Cristian Mihai Huszti,Romania,,3868,cristian-huszti,,
Cristian Surdea,Romania,,3869,cristian-surdea,,
Cui Bo,China,,1253,cui-bo,,
Cui Ming,China,,961,cui-ming,,
Curd Persijn,Belgium,,407,curd-persyn,,
