full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Dale Hughes,Wales,,2041,dale-hughes,,
Dale Kwok,New Zealand,,3653,dale-kwok,,
Dale Shannon,New Zealand,,3654,dale-shannon,,
Damian Adamus,Poland,,2015,damian-adamus,,
Dan Barsley,England,,2160,dan-barsley,,
Dana Amir,Israel,,1809,dana-amir,,
Daniel Mantale,Romania,,1879,daniel-mantale,,
Daniel Mladenov,Bulgaria,,1963,daniel-mladenov,,
Daniel Salis,Slovakia,,1943,daniel-salis,,
Daniel Stevenson,England,,2045,daniel-stevenson,,
Danijel Vranjes,Slovakia,,2017,danijel-vranjes,,
Danny Hocking,England,,1736,danny-hocking,,
Danny Ryan,New Zealand,,3655,danny-ryan,,
Darren Paris,Switzerland,,1936,darren-paris,,
Darryl James,Wales,,1745,darryl-james,,
Dave Marshall,New Zealand,,3656,dave-marshall,,
David Ackers,England,,2006,david-ackers,,
David Davidkov,Bulgaria,,1970,david-davidkov,,
Deng Jinhong,China,,1979,deng-jinhong,,
Dennis Furrer,Switzerland,,1908,dennis-furrer,,
Dirk Lycops,Belgium,,1941,dirk-lycops,,
Dong Yong,China,,1704,dong-yong,,
Dorothee Rapp,Germany,,2109,dorothee-rapp,,
Doyel Dey,India,,1820,doyel-dey,,
Dylan Engebretsen,New Zealand,,3657,dylan-engebretson,,
