full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Eddie Manning,England,,1753,eddie-manning,,
Eddy Kindermans,Belgium,,384,eddy-kindermans,,
Eduard Agapie,Romania,,1873,eduard-agapie,,
Eissa Al Hosani,United Arab Emirates,,3716,eissa-al-hosani,,
Eissa Al Sayed,United Arab Emirates,,421,eissa-al-sayed,,
Eissa Al Hashmi,United Arab Emirates,,3771,eissa-ali-al-hashmi,,
Ejler Hame,Denmark,,150,ejler-hame,,
Elisabeth Bins,Germany,,264,elisabeth-bins,,
Elke Hoebeke,Belgium,,3074,elke-hoebeke,,
Erik Wilson,Scotland,,1723,erik-wilson,,
Erwin Goethals,Belgium,,382,erwin-goethals,,
Ewelina Pislewska,Poland,,2376,ewelina-pislewska,,
