full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Gabriel Martins Campos,Brazil,,1839,gabriel-martins-campos,,
Gao Feng,China,,3526,gao-feng,,
Gao Le,China,,1409,gao-le,,
Gareth Coates,England,,524,gareth-coates,,
Gareth Coppack,Wales,,1164,gareth-coppack,,
Gareth Potts,England,,1043,gareth-potts,,
Garoid O'Connor,England,,658,garoid-oconnor,,
Garry Baldrey,England,,1193,garry-baldrey,,
Gary Steele,England,,1014,garry-steele,,
Gary Crawford,Northern Ireland,,754,gary-crawford,,
Gary Frederick,England,,2032,gary-frederick,,
Gary Ryan,Ireland,,1614,gary-ryan,,
Gary Weeks,England,,738,gary-weeks,,
Gary Wilkinson,England,,804,gary-wilkinson,,
Gavin Butler,England,,105,gavin-butler,,
Gavin Lewis,Wales,,991,gavin-lewis,,
Gabriel Burns,Jersey,,1362,gay-burns,,
Geert Herrewyn,Belgium,,817,geert-herrewyn,,
Gene Lam,England,,1740,gene-lam,,
Geoff Williams,England,,731,geoff-williams,,
George Cunningham,Scotland,,1179,george-cunningham,,
George Marter,England,,548,george-marter,,
George Montgomery,England,,2058,george-montgomery,,
George Parkin,England,,1811,george-parkin,,
George Scott,England,,1182,george-scott,,
Georgi Georgiev,Bulgaria,,1958,georgi-georgiev,,
Georgi Velichkov,Bulgaria,,1132,georgi-velichkov,,
Gerald Götz,Germany,,270,gerald-gotz,,
Gerard McAuley,Northern Ireland,,753,gerard-mcauley,,
Gerhard Engelschalk,Germany,,271,gerhard-engelschalk,,
Gerhard Mader,Germany,,272,gerhard-mader,,
Gerrit bij de Leij,Netherlands,,273,gerrit-bij-de-leij,,
Gerry Egger,Austria,,1564,gerry-egger,,
Gery De Mol,Belgium,,1915,gery-de-mol,,
Gheorghe Margarit,Romania,,1969,gheorghe-margarit,,
Gino Verheyde,Belgium,,405,gino-verheyde,,
Glenn Van Hulle,Belgium,,1088,glenn-van-hulle,,
Gong Xiaoqing,China,,1696,gong-xiaoqing,,
Gosse Vledder,Netherlands,,1279,gosse-vledder,,
Graham Davies,New Zealand,,3658,graeme-davies,,
Graham Handerson,New Zealand,,3659,graham-henderson,,
Grant Miles,England,,1676,grant-miles,,
Greg Batten,England,,734,greg-batten,,
Greg Davis,England,,107,greg-davis,,
Grzegorz Biernadski,Poland,,601,grzegorz-biernadski,,
Grzegorz Loniewski,Poland,,2008,grzegorz-loniewski,,
Guido Taloen,Belgium,,373,guido-taloen,,
Guilio Rea,Scotland,,715,guilio-rea,,
Gunars Puce,Latvia,,1813,gunars-puce,,
Guy Dennis,England,,3455,guy-dennis,,
Gwen Engels,Belgium,,386,gwen-engels,,
