full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Ian Davies,Australia,,3559,ian-davies,,
Ian John Ali,England,,2037,ian-john-ali,,
Ian Lee,Australia,,3948,ian-lee,,
Igor Antic,Bosnia and Herzegovina,,4058,igor-antic,,
Iiro Sirkiä,Finland,,1669,iiro-sirkia,,
Imran Ayaz,Croatia,,1389,imran-ayaz,,
Imran Nisar,England,,1320,imran-nisar,,
Indi Lotey,Canada,,3823,indi-lotey,,
Inese Lukasevska,Latvia,,2111,inese-lukashevska,,
Inge Vermeulen,Belgium,,1950,inge-vermeulen,,
Isabella Jonckheere,Belgium,,816,isabella-jonckheere,,
Isaiah Minnear,New Zealand,,3662,isaiah-minnear,,
Ishika Shah,India,,1821,ishika-shah,,
Ishpreet Chadha,India,,2066,ishpreet-chadha,,
Ismail Ali,Afghanistan,,1398,ismail-ali,,
Israel Pertman,Israel,,2019,israel-pertman,,
Iustin Ilie Scripei,Romania,,3977,iustin-scripei,,
Ivan Kupov,Bulgaria,,1136,ivan-kupov,,
Ivaylo Hristov,Bulgaria,,1589,ivaylo-hristov,,
Ivaylo Pekov,Bulgaria,,1138,ivaylo-pekov,,
Ivelin Boyanov Bozhanov,Bulgaria,,1988,ivelin-bozhanov,,
