snooker_id,full_name
101,Luca Brecel
102,Kuldesh Johal
109,Sam Craigie
112,Stephen Craigie
115,Anthony Hamilton
123,Lee Chun Wai Andy
125,Michael Holt
131,Craig Steadman
139,Jack Culligan
146,Oliver Brown
147,James Silverwood
148,Jordan Rimmer
151,James Cahill
152,Jamie Brown
154,Neil Robertson
156,Alex Taubman
158,Allister Carter
160,Callum Lloyd
163,Farakh Ajaib
165,Jamie Curtis-Barrett
168,Joe Perry
170,Ken Doherty
171,Michael White
174,Raymond Fry
175,Reanne Evans
177,Rod Lawler
181,Tony Knowles
191,Hans Blanckaert
198,Lee Shanker
