full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
John Paul Kelly,Ireland,,780,j-p-kelly,,
Jacek Konarski,Poland,,676,jacek-konarski,,
Jacek Stacha,Germany,,1397,jacek-stacha,,
Jack Bruins,Netherlands,,1457,jack-bruins,,
Jack Downing,Australia,,4283,jack-downing,,
Jackie Wei,United States,,4499,jackie-wei,,
Jacob Stacha,Belgium,,443,jacob-stacha,,
Jake Spiezick,England,,989,jake-spiezick,,
Jakub Koniar,Slovakia,,466,jakub-koniar,,
Jakub Makowski,Poland,,3978,jakub-makowski,,
Jakub Rendla,Czech Republic,,457,jakub-rendla,,
Jakub Zakrzewski,Poland,,3999,jakub-zakrzewski,,
James Brown,England,,727,james-brown,,
James Clements,England,,2022,james-clements,,
James Cockburn,Australia,,4461,james-cockburn,,
James Cullen,England,,1214,james-cullen,,
James Dabell,England,,1990,james-dabell,,
James Facey,Wales,,1995,james-facey,,
James Fennessey,Ireland,,4068,james-fennessey,,
James Frith,England,,606,james-frith,,
James G Gibson,England,,992,james-gibson,,
James Gillespie,England,,984,james-gillespie,,
James Hill,England,,70,james-hill,,
James Lake,England,,2052,james-lake,,
James Leadbetter,England,,439,james-leadbetter,,
James Loft,England,,227,james-loft,,
James McCloskey,United States,,4013,james-mccloskey,,
James McGouran,England,,75,james-mcgouran,,
James Mifsud,Australia,,652,james-mifsud,,
James Murdoch,England,,419,james-murdoch,,
James O'Connell,Ireland,,4114,james-oconnell,,
James Pan,Australia,,4284,james-pan,,
James Power,Canada,,3824,james-power,,
James Welsh,England,,389,james-welsh,,
Jamie Edwards,Wales,,228,jamie-edwards,,
Jamie Gibson,England,,901,jamie-gibson,,
Jamie Green,England,,719,jamie-green,,
Jamie Home,England,,1654,jamie-home,,
Jamie Lashmar,England,,2056,jamie-lashmar,,
Jamie Rous,England,,1656,jamie-rous,,
Jamie Walker,England,,134,jamie-walker,,
Jamish Kant,New Zealand,,4426,jamish-kant,,
Jan Bossaert,Belgium,,1662,jan-bossaert,,
Jan Corten,Belgium,,1066,jan-corten,,
Jan Eisenstein,Germany,,1332,jan-eisenstein,,
Jan Goossens,Belgium,,368,jan-goossens,,
Jarl Hinfelaar,Netherlands,,280,jan-hinfelaar,,
Jan Klecka,Czech Republic,,462,jan-klecka,,
Jan Laushman,Bulgaria,,4152,jan-laushman,,
Jan Leichs,Germany,,639,jan-leichs,,
Jan Mortele,Belgium,,848,jan-mortele,,
Jan Prihoda,Czech Republic,,458,jan-prihoda,,
Jan Vimr,Czech Republic,,463,jan-vimr,,
Janis Bindze,Latvia,,1539,janis-bindze,,
Janne Hummastenniemi,Finland,,1560,janne-hummastenniemi,,
Janusz Strauch,Poland,,1690,janusz-strauch,,
Jarallah Alajmi,Kuwait,,4333,jarallah-alajmi,,
Jaromir Malanta,Czech Republic,,456,jaromir-malanta,,
Jaroslaw Kowalski,Poland,,681,jarosyaw-kowalski,,
Jasha Kiers,Netherlands,,1076,jasha-kiers,,
Jason Devaney,Ireland,,229,jason-devaney,,
Jason Riding,England,,1430,jason-riding,,
Jason Stockton,England,,166,jason-stockton,,
Jason Williams,Canada,,3825,jason-williams,,
Jason Yu,Australia,,3949,jason-yu,,
Jayme White,Australia,,1832,jayme-white,,
Jayson Wholey,England,,925,jayson-wholey,,
Jean Luca N��gen,Germany,,281,jean-luca-nusgen,,
Jean Pierre De Blaer,Belgium,,394,jean-pierre-de-blaer,,
Jean-Baptiste Erceau,France,,1055,jeanbaptiste-erceau,,
Jeff Farrugia,Australia,,4462,jeff-farrugia,,
Jeffrey Kennedy,Canada,,3826,jeffrey-kennedy,,
Jenny Poulter,England,,2130,jenny-poulter,,
Jenson Schmid,Switzerland,,4122,jenson-schmid,,
Park Jeong-Min,South Korea,,2116,jeongmin-park,,
Jeremy Giannini,Australia,,4270,jeremy-gannini,,
Jeremy Lee,England,,1691,jeremy-lee,,
Jeroen Van Driel,Netherlands,,877,jeroen-van-driel,,
Jerom Meeus,Netherlands,,871,jerom-meeus,,
Jerome Jamart,France,,1450,jerome-jamart,,
Jesse Schelfhaut,Belgium,,1837,jesse-schelfhaut,,
Jessica Woods,Australia,,2132,jessica-woods,,
Jeya Selvan,India,,1092,jeya-selvan,,
Ji Zhijun,China,,1158,ji-zhijun,,
Jiang Yuanlong,China,,1243,jiang-yuanlong,,
Jim Buck,England,,167,jim-buck,,
Jim Wicks,Australia,,3950,jim-wicks,,
Jimmy Carney,Wales,,1205,jimmy-carney,,
Jimmy O'Shea,England,,801,jimmy-oshea,,
Jimmy Thomson,Australia,,3951,jimmy-thomson,,
Jimmy Van Den Winkel,Belgium,,876,jimmy-van-den-winkel,,
Jimmy Whitney,United States,,4020,jimmy-whitney,,
Jin Foulger,England,,1961,jin-foulger,,
Jindrich Prchal,Czech Republic,,461,jindrich-prchal,,
Joanna Grochal,Poland,,2375,joanna-grochal,,
Joao Grilo,Portugal,,1632,joao-grilo,,
Joao Silva,Portugal,,1637,joao-silva,,
Joaquin Marin,Spain,,1453,joaquin-marin,,
Joe Rhone,England,,1490,joe-rhone,,
Joe Roberts,England,,1211,joe-roberts,,
Joe Steele,England,,1040,joe-steele,,
Joel Demaj,Albania,,3882,joel-demaj,,
Joel Fandrei,Germany,,4112,joel-fandrei,,
Johan Havas,Sweden,,4445,johan-havas,,
Johan Lorek,France,,881,johan-lorek,,
Johan Somers,Belgium,,859,johan-somers,,
Johannes Oswald,Germany,,286,johannes-oswald,,
John Beesley,England,,1206,john-beesley,,
John Brooks,Canada,,3834,john-brooks,,
John Chapman,England,,1557,john-chapman,,
John Donovan,England,,3979,john-donovan,,
John Eames,England,,1725,john-eames,,
Johnny Farrell,Ireland,,2328,john-farrell,,
John Fox,England,,2003,john-fox,,
John Lardner,Scotland,,713,john-lardner,,
John Leahy,Ireland,,1048,john-leahy,,
John Lokeni,New Zealand,,4427,john-lokeni,,
John McBride,Ireland,,805,john-mcbride,,
John McDonnell,Australia,,4285,john-mcdonnell,,
John Patrick Tyndall,England,,1321,john-patrick-tyndall,,
John Phillips,Scotland,,4315,john-phillips,,
John Sutton,Ireland,,420,john-sutton,,
John Torpey,Ireland,,746,john-torpey,,
John Wilson,England,,1163,john-wilson,,
John Woods,England,,611,john-woods,,
Johnny Kells,Northern Ireland,,1022,johnny-kells,,
Johnson Jaganathan,Australia,,4296,johnson-jaganathan,,
Jonathan Birch,England,,672,jonathan-birch,,
Jonathan Friel,Ireland,,597,jonathan-friel,,
Jonathan Mabey,England,,1142,jonathan-mabey,,
Jonathan Nelson,Northern Ireland,,759,jonathan-nelson,,
Jonathan Wallace,Canada,,3827,jonathan-wallace,,
Jonathan Williams,England,,785,jonathan-williams,,
Joona Koskela,Finland,,1551,joona-koskela,,
Jordan Church,England,,888,jordan-church,,
Jordan Geldard,England,,1271,jordan-geldard,,
Jordan Kay,England,,4011,jordan-kay,,
Jordan Winbourne,England,,720,jordan-winbourne,,
Jörg Ebert,Germany,,437,jorg-ebert,,
Jörg Petersen,Germany,,284,jorg-petersen,,
Jörg Schneidewindt,Germany,,282,jorg-schneidewindt,,
Jörg Vortkort,Germany,,650,jorg-vortkort,,
Joris Maas,Netherlands,,819,joris-maas,,
Jörn Hannes-Hühn,Germany,,430,jorn-hannes-huhn,,
Jos Voets,Belgium,,856,jos-voets,,
Jose Maria Cortes,Spain,,4099,jose-maria-cortes,,
Joseph Conchie,New Zealand,,3663,joseph-conchie,,
Joseph Darby,Australia,,3952,joseph-darby,,
Joseph McLaren,Scotland,,1180,joseph-mclaren,,
Josh Harrison,England,,1748,josh-harrison,,
Joshua Baddeley,England,,1507,joshua-baddeley,,
Joshua Hands,Australia,,3953,joshua-hands,,
Joshua Wilshaw,England,,996,joshua-wilshaw,,
Judy Dangerfield,Australia,,2370,judy-dangerfield,,
Juhana Hautala,Finland,,1667,juhana-hautala,,
Julia Litschke,Germany,,1944,julia-litschke,,
Julian Gärtner,Germany,,288,julian-gartner,,
Julian Logue,Northern Ireland,,230,julian-logue,,
Julian Maschmeier,Germany,,1938,julian-maschmeier,,
Julian Mills,England,,1756,julian-mills,,
Julian Petrov,Bulgaria,,1218,julian-petrov,,
Julian Treiber,Germany,,289,julian-treiber,,
Julius Grauls,Belgium,,392,julius-grauls,,
Jurgen Goudailler,Netherlands,,1452,jurgen-goudailler,,
Jurgen Hauffman,Belgium,,1448,jurgen-hauffman,,
Jürgen Kesseler,Germany,,287,jurgen-kesseler,,
Jürgen Vandenbossche,Belgium,,400,jurgen-van-den-bossche,,
Jürgen Van Roy,Belgium,,390,jurgen-van-roy,,
Jürgen Vancanneyt,Belgium,,1062,jurgen-vancanneyt,,
Juriaan Van Den Nieuwenhuizen,Netherlands,,865,juriaan-van-den-nieuwenhuizen,,
Jurian Heusdens,Belgium,,815,jurian-heusdens,,
Justine Abrassart,Belgium,,3810,justine-abrassart,,
Jyri Virtanen,Finland,,1664,jyri-virtanen,,
