full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Kaivalya Velagapudi,India,,1822,kaivalya-velagapudi,,
Kamil Zubrzycki,Poland,,671,kamil-zubrzycki,,
Kamran Ashraf,England,,113,kamran-ashraf,,
Karel Petracek,Czech Republic,,465,karel-petracek,,
Karol Lelek,Poland,,678,karol-lelek,,
Katarzyna Bialik,Poland,,2371,katarzyna-bialik,,
Kathy Howden,Australia,,2133,kathy-howden,,
Kelly Pritchard,New Zealand,,3664,kelly-pritchard,,
Kevin Dabrowski,Poland,,691,kevin-dabrowski,,
Kevin Lämmermann,Germany,,290,kevin-lammermann,,
Kevin Van Den Broeck,Belgium,,374,kevin-van-den-broeck,,
Khalid Al Kamali,United Arab Emirates,,1794,khalid-al-kamali,,
Khaled Al Saaleem,Pakistan,,1758,khalid-al-salem,,
Khizar Raoof,India,,551,khizar-raoof,,
Kieran Briggs,England,,2011,kieran-briggs,,
Kilian Baur-Pantoulier,Germany,,291,kilian-baur-pantoulier,,
Klaus Wuscher,Germany,,292,klaus-wuscher,,
Kobe Vanoppen,Belgium,,1836,kobe-vanoppen,,
Kris Van Landeghem,Belgium,,379,kris-van-landeghem,,
Kristian Willetts,England,,618,kristian-willetts,,
Kristof De Mulder,Belgium,,3029,kristof-de-mulder,,
Krzysztof Drazkiewicz,Poland,,1940,krzysztof-drazkiewicz,,
Krzysztof Gorniak,Poland,,692,krzysztof-gorniak,,
Krzysztof Kubicki,Poland,,683,krzysztof-kubicki,,
Krzysztof Wrobel,Poland,,84,krzysztof-wrobel,,
Kurt Vanoverberhe,Belgium,,369,kurt-vanoverberghe,,
Kyle Renton,Australia,,1834,kyle-renton,,
Kyriacos Kyriacou,Cyprus,,1965,kyriacos-kyriacou,,
