full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Rafal Szymanek,Poland,,1949,rafay-szymanek,,
Ralf G�nzel,Germany,,326,ralf-gunzel,,
Ralf Hemmerling,Germany,,327,ralf-hemmerling,,
Rares Vasile,Romania,,1896,rares-vasile,,
Razvan Sdrobits,Romania,,1964,razvan-sdrobis,,
Reece King,England,,1733,reece-king,,
Ren Zuijie,China,,1975,ren-zuijie,,
Rene Van Rijsbergen,Netherlands,,328,rene-van-rijsbergen,,
Rhydian Ap Owen,Wales,,1741,rhydian-ap-owen,,
Richard Ammons,England,,1989,richard-ammons,,
Rob Redgrove,New Zealand,,3678,rob-redgrove,,
Robbie Purdham,England,,1922,robbie-purdham,,
Robert Cloherty,England,,1760,robert-cloherty,,
Robert Czupryniak,Poland,,1948,robert-czupryniak,,
Robert Drahn,Germany,,329,robert-drahn,,
Robert Fe�,Germany,,330,robert-fes,,
Robert Haimerl,Germany,,331,robert-haimerl,,
Robert Huggins,England,,3684,robert-huggins,,
Robert Redmond,Ireland,,116,robert-redmond,,
Robert Sax,Germany,,332,robert-sax,,
Robert Valiant,England,,176,robert-valiant,,
Roberto Abart,Germany,,333,roberto-abart,,
Rock Hui,England,,209,rock-hui,,
Rogelio Esteiro,England,,178,rogelio-esteiro,,
Rogier Van Der Kamp,Netherlands,,334,rogier-van-de-kamp,,
Rolf Schmidt,Germany,,335,rolf-schmidt,,
Ronni Beniesch,Germany,,336,ronni-beniesch,,
Ronny Buchholz,Germany,,337,ronny-buchholz,,
Ronny Pawlitza,Germany,,338,ronny-pawlitza,,
Roy Stolk,Netherlands,,340,roy-stolk,,
R�diger Nickel,Germany,,341,rudiger-nickel,,
