full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Takao Kurimoto,Japan,,3720,takao-kurimoto,,
Tang Li,China,,1697,tang-li,,
Tanja Ender,Germany,,1912,tanja-ender,,
Terry Challenger,England,,180,terry-challenger,,
Terence Davidson,Canada,,1960,terry-davidson,,
Theodor Teaca,Romania,,1874,theodor-teaca,,
Thomas Cesal,Germany,,351,thomas-cesal,,
Thomas Cook,New Zealand,,3680,thomas-cook,,
Thomas Frank,Germany,,1918,thomas-frank,,
Thomas Hein,Germany,,1913,thomas-hein,,
Thomas Hoeltschl,Germany,,352,thomas-hoeltschl,,
Thomas L�thi,Germany,,353,thomas-luthi,,
Thomas Schneeberger,Switzerland,,354,thomas-schneeberger,,
Thomas Valentin,Germany,,355,thomas-valentin,,
Tim De Ruyter,Netherlands,,1861,tim-de-ruyter,,
Tim Van Goubergen,Belgium,,371,tim-van-goubergen,,
Tino De Witte,Belgium,,393,tino-de-witte,,
Tiziano Guerra,Italy,,356,tiziano-guerra,,
Tom Egger,Germany,,357,tom-egger,,
Tom Stormbom,Finland,,1997,tom-stormbom,,
Tom Zimmermann,Switzerland,,1925,tom-zimmermann,,
Tonnie Kok,Netherlands,,359,tonnie-kok,,
Tony Pelenato,New Zealand,,3681,tony-pelenato,,
Tu Taojin,China,,1711,tu-taojin,,
Tudor Dancan,Romania,,1880,tudor-dancan,,
Tudor Muntean,Romania,,1877,tudor-muntean,,
Tudor Popescu,Romania,,1868,tudor-popescu,,
