full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Wade Collett,New Zealand,,3682,wade-collett,,
Waldemar Matuszkiewicz,Poland,,2024,waldemar-matuszkiewicz,,
Walter Theuma,Malta,,1804,walter-theuma,,
Wang Haonan,China,,1972,wang-haonan,,
Wang Linkai,China,,1694,wang-linkai,,
Waratthanun Sukritthanes,Thailand,,2182,waratthanun-sukritthanes,,
Ward Van Doren,Belgium,,818,ward-van-doren,,
Wasim Khan,Pakistan,,2054,wasim-khan,,
Wayne Brown,England,,2004,wayne-brown,,
Wayne Jones,Wales,,800,wayne-jones,,
Werner Pilz,Germany,,361,werner-pilz,,
Wiktor Dobersch�tz,Poland,,707,wiktor-doberschutz,,
Wilfried Ide,Belgium,,851,wilfried-ide,,
Wilhelm Braunwald,Germany,,362,wilhelm-braunwald,,
Wim Andries,Belgium,,825,wim-andries,,
Wim De Roeck,Belgium,,837,wim-de-roeck,,
Willen Monfils,Netherlands,,363,wim-monfils,,
Wladimir Ponomarenko,Belarus,,364,wladimir-ponomarenko,,
Wojciech Bojewski,Poland,,705,wojciech-bojewski,,
Wolfgang Brandmeier,Germany,,365,wolfgang-brandmeier,,
Wong Yun Shing,Hong Kong,,1706,wong-yunshing,,
Wu Sicheng,China,,1978,wu-sicheng,,
Wu Yu-Lin,Taiwan,,3714,wu-yu-lin,,
