full_name,nation,birthday,snooker_id,cuetracker_id,wikidata_id,wiki_id
Yahya Atty,Australia,,4351,yahya-atty,,
Yahya Seedat,Turkey,,183,yahya-seedat,,
Wong Yan,Hong Kong,,4478,yan-wong,,
Yang Gangxingfu,China,,1241,yang-gangxinfu,,
Yang Haifeng,China,,1486,yang-haifeng,,
Yannick Poulain,France,,404,yannick-poulain,,
Yannick Sablon,Belgium,,872,yannick-sablon,,
Yap Chee,Australia,,3933,yap-chee,,
Yaron Bodor,Israel,,3922,yaron-bodor,,
Yasser El-Sherbini,Egypt,,590,yaser-elsherbiny,,
Yashnai Parmar,England,,3998,yashnai-parmar,,
Ye Shaojun,China,,1239,ye-shaojun,,
Yenn Shin Loi,Sweden,,4447,yenn-shin-loi,,
Yin Xiaowei,China,,1610,yin-xiaowei,,
Yohanes Tjandra,Australia,,4274,yohanes-tjandra,,
Yong Fan,China,,1416,yong-fan,,
Yorben Vervondel,Belgium,,880,yorben-vervondel,,
Yoshitaka Sato,Japan,,3923,yoshitaka-sato,,
Yu Haitao,China,,1414,yu-haitao,,
Yu Xuantang,China,,1153,yu-xuantang,,
Yu Yongsheng,China,,1235,yu-yongsheng,,
Ma Yuchen,United States,,4028,yuchen-ma,,
Tam Yun Fung,Hong Kong,,1892,yun-fung-tam,,
Yutaka Fukuda,Japan,,3726,yutaka-fukuda,,
Yvan Van Velthoven,Belgium,,399,yvan-van-velthoven,,
