"snookerid","fullname"
1,"Mark J Williams"
2,"Stephen Maguire"
3,"Jamie Cope"
4,"Marco Fu"
5,"Ronnie O'Sullivan"
6,"Barry Pinches"
7,"Joe Jogia"
8,"Tom Ford"
9,"Matthew Stevens"
10,"Jamie Jones"
11,"Marcus Campbell"
12,"Judd Trump"
16,"Barry Hawkins"
17,"Mark Selby"
22,"Anthony McGill"
30,"Stuart Bingham"
39,"Kyren Wilson"
61,"Kurt Maflin"
62,"Ricky Walden"
85,"Jack Lisowski"
97,"Shaun Murphy"
101,"Luca Brecel"
118,"David B Gilbert"
154,"Neil Robertson"
158,"Allister Carter"
202,"Mark Allen"
237,"John Higgins"
666,"Hossein Vafaei"
946,"Zhao Xintong"
1260,"Yan Bingtao"
